No.;Diameter tube [mm];Wallthickness tube [mm];Mandrel extraction before bending end [];Collet boost [-];Clearance pressure die [mm]
133;22.30;1.00;10;0.85;0.00
134;22.30;1.00;10;0.85;-0.10
135;22.30;1.00;10;0.85;-0.20
136;22.30;1.20;0;0.95;0.00
137;22.30;1.20;0;0.95;-0.10
138;22.30;1.20;0;0.95;-0.20
139;22.30;1.20;0;0.90;0.00
140;22.30;1.20;0;0.90;-0.10
141;22.30;1.20;0;0.90;-0.20
142;22.30;1.20;0;0.85;0.00
143;22.30;1.20;0;0.85;-0.10
144;22.30;1.20;0;0.85;-0.20
145;22.30;1.20;5;0.95;0.00
146;22.30;1.20;5;0.95;-0.10
147;22.30;1.20;5;0.95;-0.20
148;22.30;1.20;5;0.90;0.00
149;22.30;1.20;5;0.90;-0.10
150;22.30;1.20;5;0.90;-0.20
151;22.30;1.20;5;0.85;0.00
152;22.30;1.20;5;0.85;-0.10
153;22.30;1.20;5;0.85;-0.20
154;22.30;1.20;10;0.95;0.00
155;22.30;1.20;10;0.95;-0.10
156;22.30;1.20;10;0.95;-0.20
157;22.30;1.20;10;0.90;0.00
158;22.30;1.20;10;0.90;-0.10
159;22.30;1.20;10;0.90;-0.20
160;22.30;1.20;10;0.85;0.00
161;22.30;1.20;10;0.85;-0.10
162;22.30;1.20;10;0.85;-0.20
