Distance [mm];Wallthickness [mm]
0.0;1.1904836893
2.001693964;1.1907994747
4.0032277107;1.1911501884
6.0045704842;1.1914561987
8.0056228638;1.1917500496
10.006446838;1.1921838522
12.007198334;1.1927468777
14.007953644;1.1933652163
16.008758545;1.1941131353
18.009620667;1.1949263811
20.010555267;1.195741415
22.011552811;1.19640553
24.012533188;1.1968222857
26.013483047;1.1972160339
28.014396667;1.1975398064
30.015262604;1.1978267431
32.016036987;1.1981477737
34.016670227;1.1984982491
36.017116547;1.1987612247
38.017353058;1.1989150047
40.017417908;1.1990050077
42.017288208;1.1991592646
44.016857147;1.1992417574
46.015872955;1.1994394064
48.013240814;1.2004623413
50.006313324;1.202934742
51.989555359;1.2081571817
53.952075958;1.2185542583
55.881328583;1.2325373888
57.769802094;1.2502176762
59.617145538;1.2708227634
61.426792145;1.297352314
63.199623108;1.3309195042
64.929519653;1.3684877157
66.609298706;1.4054750204
68.243461609;1.4298737049
69.846076965;1.4401839972
71.424171448;1.4498540163
72.981117249;1.4499688148
74.515144348;1.4579794407
76.031478882;1.4496879578
77.535469055;1.4488444328
79.032531738;1.4384255409
80.516242981;1.453173995
81.979415894;1.4656959772
83.444923401;1.4449181557
84.933738708;1.4243494272
86.441177368;1.4197626114
87.958091736;1.4103266001
89.484794617;1.4089707136
91.01675415;1.4100730419
92.559768677;1.4023811817
94.116264343;1.3934781551
95.683227539;1.3822174072
97.258712769;1.3689720631
98.859947205;1.3296622038
100.4988327;1.3082591295
102.16988373;1.295986414
103.8716507;1.2838075161
105.60411072;1.274248004
107.36862946;1.2633025646
109.16513062;1.2543003559
110.99008179;1.2465009689
112.84140015;1.2389910221
114.71844482;1.2311599255
116.62008667;1.2235232592
118.54373169;1.2170755863
120.4859314;1.2125599384
122.44434357;1.2086639404
124.41794586;1.2044543028
126.40266418;1.2023164034
128.3924408;1.201489687
130.38479614;1.2008099556
132.37963867;1.2004003525
134.37617493;1.2002725601
136.37342834;1.2002495527
138.37120056;1.2000021935
140.36950684;1.1998163462
142.36813354;1.1999996901
144.36720276;1.2000142336
146.36663818;1.1999483109
148.3662262;1.1997696161
150.36578369;1.1994997263
152.36532593;1.1992403269
154.36509705;1.1995780468
156.36515808;1.1997839212
158.36547852;1.1998864412
160.36595154;1.1999206543
162.36647034;1.199937582
164.36698914;1.1999317408
166.36750793;1.1999194622
168.36799622;1.1999108791
170.36845398;1.1999007463
172.36888123;1.1999056339
174.36929321;1.1999229193
176.3697052;1.1999294758
178.37014771;1.199911952
180.37060547;1.1998991966
182.37107849;1.1999015808
184.37161255;1.199909687
186.37219238;1.1999322176
188.37283325;1.1999579668
190.37350464;1.1999617815
192.37423706;1.199930191
194.37501526;1.1998779774
196.37586975;1.1998198032
198.3768158;1.1997588873
200.37782288;1.1997359991
202.37886047;1.1997556686
204.37995911;1.199780941
206.38111877;1.1997839212
208.38233948;1.19977808
210.38363647;1.1997617483
212.38500977;1.1997400522
214.38642883;1.1997321844
216.38789368;1.1997261047
218.38941956;1.1997218132
220.39096069;1.1997270584
222.39248657;1.1997398138
224.39399719;1.1997225285
249.72190857;1.1995716095
