Angle[degree];Secondary axis[mm];Main axis[mm];Out-of-roundness[-];Collapse[mm]
0.0;21.242283560881855;20.924455289037162;0.014921515110079482;0.7696273890717222
1.0;21.23234181660891;20.896648486107924;0.015760250258262155;0.8043416907504337
2.0;21.220902322944916;20.87357972642868;0.016306225188555665;0.8282915687232304
3.0;21.208543767440613;20.853744319466117;0.01665725107861486;0.8477918692618474
4.0;21.194541710898633;20.832237231925976;0.017009599951767936;0.8650938701510853
5.0;21.178703144545395;20.815355878579588;0.017058557087596564;0.8783221607929832
6.0;21.161692845486712;20.80060223646358;0.016952610752259772;0.8908815544850199
7.0;21.143566227101314;20.792998535910957;0.01645857705119044;0.8943848479196603
8.0;21.12537892154052;20.79113043323371;0.015692417291399478;0.892952788341276
9.0;21.107383384460178;20.791325643633517;0.014838391588106157;0.8851049677306548
10.0;21.084310273018165;20.79854806707705;0.013416066006625113;0.8720200898708299
11.0;21.06709614761879;20.803588211171036;0.012371264621960351;0.8563888522818459
12.0;21.0535366827854;20.82118336488183;0.010908606474346006;0.8318476467961418
13.0;21.031361441631926;20.824409345820403;0.009716060836221755;0.81499490628552
14.0;21.018291023419497;20.842849719730566;0.008236680924362961;0.7909062184561506
15.0;20.997052136458557;20.842438945212653;0.007258835269760746;0.7790220167760182
16.0;20.97738681589211;20.851531352355927;0.005908707208271515;0.7645731598008609
17.0;20.97701917394471;20.848717539523502;0.006023550911793866;0.7554196234964508
18.0;20.97016015364958;20.84645781542309;0.005807621512980757;0.7505705782289525
19.0;20.94909647121352;20.83668503050826;0.005277532427476937;0.7481565990561592
20.0;20.93768577888839;20.82579364916129;0.0052531516303802525;0.7511567881177186
21.0;20.947789934316788;20.814746221128782;0.006246183717746729;0.7489623689191731
22.0;20.94380833501873;20.80117361152411;0.006696465891766193;0.7515512580163275
23.0;20.925326138417095;20.79282760671428;0.00622058834285517;0.7447076131002959
24.0;20.926267748618308;20.780256544730754;0.006854986098007212;0.745078352373568
25.0;20.93831606356472;20.7743284997554;0.007698946657714627;0.7342539455292183
26.0;20.935919087661798;20.767155750283067;0.007923161379283164;0.7259044974566109
27.0;20.918425573907626;20.76407908072363;0.007246314233990472;0.7095801257170962
28.0;20.929311948161917;20.76150650511929;0.007878189814207882;0.6953559669168925
29.0;20.941335913562177;20.760584944121575;0.008485961006601043;0.6753986975405297
30.0;20.938391074529527;20.761636875571877;0.00829831919988964;0.6562237914873208
31.0;20.93549177504689;20.761222520862727;0.008181655126017097;0.6358412869447037
32.0;20.940500729934996;20.765149926840536;0.008232432070162448;0.6136877780598127
33.0;20.95137297712407;20.76260978449609;0.008862121719623518;0.5941739707001403
34.0;20.94692327005265;20.763955677597387;0.008590027814801088;0.5719554708746273
35.0;20.93250745585466;20.75550391553276;0.008310025367225441;0.5562879889121959
36.0;20.95653514229719;20.757872589517063;0.009326880412212583;0.5330697743707944
37.0;20.96520022023722;20.746867995609996;0.010250339184376782;0.5193540253843238
38.0;20.958460771652064;20.74813792501347;0.009874312048760261;0.49712014251131365
39.0;20.953840157436296;20.73700573250248;0.010180019949944356;0.484474118866288
40.0;20.976390242357468;20.74021014763249;0.011088267357980236;0.46227218734383513
41.0;20.983555496565774;20.73266099319001;0.011779084665528863;0.44646831018231836
42.0;20.975165026200496;20.734392911437872;0.011303855153174837;0.4254442423566118
43.0;20.980945576764633;20.73048953128082;0.011758499787972396;0.40616603081348757
44.0;21.00206123480828;20.735544951266025;0.012512501574753787;0.38295622793926754
45.0;21.00757371011287;20.736610853814504;0.012721260859078149;0.3581083469936175
46.0;20.99684825057522;20.73955247989926;0.012079613646758663;0.3357277801050458
47.0;21.012968260293313;20.74186259965759;0.012727965288062089;0.3087154274397008
48.0;21.031208952763752;20.742589735279008;0.013550198003978579;0.28901730924754787
