Distance [mm];Wallthickness [mm]
0.0;0.99310106039
2.000415802;0.99313354492
4.0009651184;0.99312639236
6.0016174316;0.99297684431
8.0023384094;0.99265563488
10.003131866;0.99229377508
12.004112244;0.99179875851
14.005363464;0.99125039577
16.006847382;0.99074935913
18.00856781;0.9905462265
20.010669708;0.99058121443
22.013378143;0.99077832699
24.016971588;0.99113559723
26.021724701;0.99149829149
28.027832031;0.99187874794
30.035427094;0.99225211143
32.044628143;0.99258685112
34.055599213;0.99284726381
36.068523407;0.99304044247
38.083599091;0.99319761992
40.101222992;0.99325400591
42.122093201;0.99312460423
44.147277832;0.99256360531
46.178447723;0.9911813736
48.217826843;0.98888987303
50.268726349;0.98552596569
52.336673737;0.98066717386
54.429012299;0.97416573763
56.551761627;0.96663492918
58.708572388;0.95747447014
60.905574799;0.9429769516
63.157485962;0.91865903139
65.477828979;0.89196443558
67.865318298;0.87108069658
70.32572937;0.84686917067
72.851547241;0.83603662252
75.426635742;0.82463604212
78.044113159;0.81980854273
80.686004639;0.82096588612
83.34803772;0.81815779209
86.029167175;0.81858295202
88.716934204;0.82144761086
91.407012939;0.82283812761
94.101112366;0.82501173019
96.799865723;0.82730948925
99.504600525;0.8274269104
102.22264862;0.82201212645
104.97090912;0.80903142691
107.75037384;0.79993909597
110.54303741;0.79921793938
113.32805634;0.81268209219
116.07322693;0.83244335651
118.77155304;0.83429437876
121.43538666;0.82866698503
124.07546234;0.82867282629
126.68817902;0.85269260406
129.21720886;0.88833224773
131.65014648;0.91020309925
134.02043152;0.92206120491
136.34719849;0.93370270729
138.62948608;0.94336956739
140.86531067;0.95362007618
143.05659485;0.962464571
145.20913696;0.97036963701
147.32728577;0.97792476416
149.41482544;0.98476368189
151.47654724;0.99039524794
153.51858521;0.99440252781
155.54748535;0.99689495564
157.56855774;0.99814397097
159.58462524;0.99892097712
161.59657288;0.99945896864
163.60484314;0.99982309341
165.60995483;0.99997609854
167.61250305;1.0000679493
169.6133728;1.0000202656
171.61367798;0.99992746115
173.61393738;0.99987179041
175.61427307;0.9998369813
177.61471558;0.9998292923
179.61520386;0.99985873699
181.61569214;0.99989706278
183.61613464;0.99992197752
185.61645508;0.99992692471
187.61663818;0.99995416403
189.61665344;0.99999797344
191.61650085;1.0000406504
193.6161499;1.0000724792
195.61558533;1.0001007318
197.61485291;1.0001254082
199.61398315;1.0001790524
201.61303711;1.0002076626
203.61203003;1.000199914
205.61096191;1.0001724958
207.6098175;1.0001517534
209.60858154;1.0001649857
211.60726929;1.0001935959
213.605896;1.0002143383
215.60453796;1.0002042055
217.60324097;1.0001806021
219.602005;1.000144124
221.60075378;1.0001381636
223.59947205;1.0001862049
225.5980835;1.0002508163
227.59657288;1.0002951622
229.59492493;1.000302434
231.59313965;1.0002888441
233.59129333;1.0002882481
235.58940125;1.000305295
237.58750916;1.0003297329
239.58563232;1.0003252029
241.58370972;1.0003011227
243.58164978;1.0002878904
245.57958984;1.0002374649
247.57766724;1.000185132
249.57546997;1.0003262758
251.57313538;1.0002815723
253.57104492;1.0003147125
255.56811523;1.0008215904
257.56335449;1.0016576052
282.88323975;1.0028978586
