Time [s];Movement [mm]
11.749500275;5.4557352066
11.799500465;5.4837150574
11.849499702;5.5116949081
11.899499893;5.5396747589
11.949500084;5.5676546097
11.999500275;5.5956344604
12.049500465;5.6236143112
12.099499702;5.651594162
12.149499893;5.6795740128
12.199500084;5.7075538635
12.249500275;5.7355337143
12.299500465;5.7635130882
12.349499702;5.791492939
12.399499893;5.8194727898
12.449500084;5.8474526405
12.499500275;5.8754324913
12.549500465;5.9034123421
12.599499702;5.9313921928
12.649499893;5.9593720436
12.699500084;5.9873518944
12.749500275;6.0153317451
12.799500465;6.0433115959
12.849499702;6.0712914467
12.899499893;6.0992712975
12.949500084;6.1272511482
12.999500275;6.155230999
13.049500465;6.1832108498
13.099499702;6.2111902237
13.149499893;6.2391700745
13.199500084;6.2671499252
13.249500275;6.295129776
13.299500465;6.3231096268
13.349499702;6.3510894775
13.399499893;6.3790693283
13.449500084;6.4070491791
13.499500275;6.4350290298
13.549500465;6.4630088806
13.599499702;6.4909887314
13.649499893;6.5189685822
13.699500084;6.5469484329
13.749500275;6.5749282837
13.799500465;6.6029081345
13.849499702;6.6308879852
13.899499893;6.6588673592
13.949500084;6.6868472099
13.999500275;6.7148270607
14.049500465;6.7428069115
14.099499702;6.7707867622
14.149499893;6.798766613
14.199500084;6.8267464638
14.249500275;6.8547263145
14.299500465;6.8827061653
14.349499702;6.9106860161
14.399499893;6.9386658669
14.449500084;6.9666457176
14.499500275;6.9946255684
14.549500465;7.0226054192
14.599499702;7.0505852699
14.649499893;7.0785651207
14.699500084;7.1065444946
14.749500275;7.1345243454
14.799500465;7.1625041962
14.849499702;7.1904840469
14.899499893;7.2184638977
14.949500084;7.2464437485
14.999500275;7.2744235992
15.049500465;7.30240345
15.099499702;7.3303833008
15.149499893;7.3583631516
15.199500084;7.3863430023
15.249500275;7.4143228531
15.299500465;7.4423027039
15.349499702;7.4702825546
15.399499893;7.4982624054
15.449500084;7.5262422562
15.499500275;7.5542216301
15.549500465;7.5822014809
15.599499702;7.6101813316
15.649499893;7.6381611824
15.699500084;7.6661410332
15.749500275;7.6941208839
15.799500465;7.7221007347
15.849499702;7.7500805855
15.899499893;7.7780604362
15.949500084;7.806040287
15.999500275;7.8340201378
16.049499512;7.8619999886
