Time [s];Movement [mm]
0.0;0.0
0.049499999732;0.0
0.099500000477;0.0
0.1494999975;0.0
0.19949999452;0.0
0.24950000644;0.0
0.29949998856;0.0
0.34950000048;0.0
0.3995000124;0.0
0.44949999452;0.0
0.49950000644;0.0
0.55000001192;0.0
0.60000002384;0.0
0.64999997616;0.0
0.69999998808;0.0
0.75;0.0
0.80000001192;0.0
0.85000002384;0.0
0.89999997616;0.0
0.94999998808;0.0
1.0;0.0
1.0499999523;0.0
1.1000000238;0.0
1.1499999762;0.0
1.2000000477;0.0
1.25;0.0
1.2999999523;0.0
1.3500000238;0.0
1.3999999762;0.0
1.4500000477;0.0
1.5;0.0
1.5499999523;0.0
1.6000000238;0.0
1.6499999762;0.0
1.7000000477;0.0
1.75;0.0
1.7999999523;0.0
1.8500000238;0.0
1.8999999762;0.0
1.9500000477;0.0
2.0;0.0
2.0499999523;0.0
2.0999999046;0.0
2.1500000954;0.0
2.2000000477;0.0
2.25;0.0
2.2999999523;0.0
2.3499999046;0.0
2.4000000954;0.0
2.4500000477;0.0
2.4995000362;0.0
2.5494999886;0.0
2.5994999409;0.0
2.6494998932;0.0
2.6995000839;0.0
2.7495000362;0.0
2.7994999886;0.0
2.8494999409;0.0
2.8994998932;0.0
2.9495000839;0.0
2.9995000362;0.0
3.0494999886;0.0
3.0994999409;0.00053858238971
3.1494998932;0.019072450697
3.1995000839;0.030991921201
3.2495000362;0.023686194792
3.2994999886;0.0016872242559
3.3494999409;-0.021358380094
3.3994998932;-0.03115475364
3.4495000839;-0.021624919027
3.4995000362;0.0013194889762
3.5494999886;0.023445378989
3.5994999409;0.031027412042
3.6494998932;0.019362229854
3.6995000839;-0.0043139127083
3.7495000362;-0.025314006954
3.7994999886;-0.030611081049
3.8494999409;-0.01691920124
3.8994998932;0.0072681563906
3.9495000839;0.02694686316
3.9995000362;0.029909638688
4.0494999886;0.014318586327
4.0995001793;-0.010154704563
4.1494998932;-0.028328733519
4.1995000839;-0.028929617256
4.2494997978;-0.0046274564229
4.2994999886;0.038954541087
4.3495001793;0.059313610196
4.3994998932;0.042878706008
4.4495000839;-0.00015511942911
4.4994997978;-0.036329116672
4.5494999886;-0.038923133165
4.5995001793;-0.016033602878
4.6494998932;0.016802044585
4.6995000839;0.03921489045
4.7494997978;0.037301585078
4.7994999886;0.012249013409
4.8495001793;-0.020401982591
4.8994998932;-0.04039702937
4.9499998093;-0.035152282566
5.0;-0.0080193923786
5.0500001907;0.024088164791
5.0999999046;0.041253123432
5.1500000954;0.032827559859
5.1999998093;0.0040380959399
5.25;-0.027256317437
5.3000001907;-0.041642837226
5.3499999046;-0.030197082087
5.4000000954;-1.9188599254e-05
5.4499998093;0.030170606449
5.5;0.041644688696
5.5500001907;0.027285346761
5.5999999046;0.0040527349338
5.6500000954;0.0089232502505
5.6999998093;0.021210059524
5.75;0.035402499139
5.8000001907;0.04617831111
5.8499999046;0.050513766706
5.9000000954;0.03190581128
5.9499998093;-0.0030874693766
6.0;-0.027229534462
6.0500001907;-0.030612930655
6.0999999046;-0.015006222762
6.1500000954;0.0099092861637
6.1999998093;0.028677774593
6.25;0.029656596482
6.3000001907;0.012238560244
6.3499999046;-0.012771413662
6.4000000954;-0.029858903959
6.4499998093;-0.028424039483
6.5;-0.0093569085002
6.5500001907;0.015514587983
6.5999999046;0.030761931092
6.6500000954;0.026926742867
6.6999998093;0.0063881063834
6.75;-0.018113261089
6.8000001907;-0.031378440559
6.8499999046;-0.025178650394
6.9000000954;-0.0015371403424
6.9499998093;0.027266943827
7.0;0.042112950236
7.0500001907;0.043519545346
7.0999999046;0.038407053798
7.1500000954;0.030286340043
7.1999998093;0.021505087614
7.25;0.016540192068
7.3000001907;0.013507374562
7.3499999046;0.011644108221
7.4000000954;0.006070362404
7.4499998093;-0.0032545481808
7.5;-0.010560567491
7.5500001907;-0.011315556243
7.5999999046;-0.0050511732697
7.6500000954;0.0043466011994
7.6999998093;0.011048050597
7.75;0.010896069929
7.8000001907;0.0039849369787
7.8499999046;-0.0053981696256
7.9000000954;-0.011432632804
7.9499998093;-0.010375098325
8.0;-0.0028815853875
8.0500001907;0.0063994596712
8.1000003815;0.011710732244
8.1499996185;0.0097574926913
8.1999998093;0.0065886108205
8.25;0.023073608056
8.3000001907;0.03638613224
8.3500003815;0.043453894556
8.3999996185;0.057192664593
8.4499998093;0.064462319016
8.5;0.063023664057
8.5500001907;0.058589871973
8.6000003815;0.049007941037
8.6499996185;0.036274380982
8.6999998093;0.028754139319
8.75;0.022843437269
8.8000001907;0.016834883019
8.8500003815;0.011360442266
8.8999996185;0.0050368453376
8.9499998093;-0.0041586956941
9.0;-0.010774475522
9.0500001907;-0.010706531815
9.1000003815;-0.0039970115758
9.1499996185;0.0051919720136
9.1999998093;0.011160222813
9.25;0.010205459781
9.3000001907;0.0029199500568
9.3500003815;-0.0061768903397
9.3999996185;-0.0045109856874
9.4495000839;0.014198690653
9.4995002747;0.030177928507
9.5495004654;0.043392572552
9.5994997025;0.060266252607
9.6494998932;0.074306473136
9.6995000839;0.079297378659
9.7495002747;0.079392209649
9.7995004654;0.072649106383
9.8494997025;0.063460834324
9.8994998932;0.058122999966
9.9495000839;0.053139559925
9.9995002747;0.045415490866
10.049500465;0.038094773889
10.099499702;0.02582854405
10.149499893;0.0083911083639
10.199500084;-0.0048162587918
10.249500275;-0.0087626371533
10.299500465;-0.0054498892277
10.349499702;0.001249092049
10.399499893;0.007173224818
10.449500084;0.0086475955322
10.499500275;0.0047576087527
10.549500465;-0.0020836624317
10.599499702;-0.0073658674955
10.649499893;4.0679248059e-07
10.699500084;0.012304795906
10.749500275;0.026837732643
10.799500465;0.04065650329
10.849499702;0.055193319917
10.899499893;0.069292336702
10.949500084;0.075550101697
10.999500275;0.079475492239
11.049500465;0.080943875015
11.099499702;0.079595915973
11.149499893;0.07683301717
11.199500084;0.072565510869
11.249500275;0.065890170634
11.299500465;0.057063739747
11.349499702;0.046816606075
11.399499893;0.03389082849
11.449500084;0.024198660627
11.499500275;0.019701566547
11.549500465;0.01678907685
11.599499702;0.013429453596
11.649499893;0.011726444587
11.699500084;0.013165631332
11.749500275;0.012867169455
11.799500465;0.015543566085
11.849499702;0.023339739069
11.899499893;0.031784173101
11.949500084;0.037941072136
11.999500275;0.046748273075
12.049500465;0.057317856699
12.099499702;0.068743921816
12.149499893;0.079905740917
12.199500084;0.090792216361
12.249500275;0.097710452974
12.299500465;0.10114111751
12.349499702;0.10332664102
12.399499893;0.10379188508
12.449500084;0.10168430954
12.499500275;0.099440291524
12.549500465;0.092508256435
12.599499702;0.0815410465
12.649499893;0.070543713868
12.699500084;0.0593656376
12.749500275;0.048893123865
12.799500465;0.042488176376
12.849499702;0.03803390637
12.899499893;0.034955006093
12.949500084;0.034303430468
12.999500275;0.032985124737
13.049500465;0.03370821476
13.099499702;0.037851754576
13.149499893;0.044138103724
13.199500084;0.054000757635
13.249500275;0.066471412778
13.299500465;0.075890131295
13.349499702;0.085512526333
13.399499893;0.091924376786
13.449500084;0.097225345671
13.499500275;0.1019596681
13.549500465;0.10730113834
13.599499702;0.10912269354
13.649499893;0.10976111144
13.699500084;0.10510351509
13.749500275;0.099194400012
13.799500465;0.091212429106
13.849499702;0.08112616092
13.899499893;0.070818945765
13.949500084;0.06086083129
13.999500275;0.05049829185
14.049500465;0.043058596551
14.099499702;0.037034433335
14.149499893;0.032267637551
14.199500084;0.029012873769
14.249500275;0.026522578672
14.299500465;0.026235764846
14.349499702;0.029197031632
14.399499893;0.035335186869
14.449500084;0.043699909002
14.499500275;0.054631538689
14.549500465;0.065834775567
14.599499702;0.076012939215
14.649499893;0.083982735872
14.699500084;0.090333044529
14.749500275;0.095531538129
14.799500465;0.099516488612
14.849499702;0.10540164262
14.899499893;0.11048553884
14.949500084;0.11181563139
14.999500275;0.10832969099
15.049500465;0.10078819096
15.099499702;0.091416217387
15.149499893;0.08260653168
15.199500084;0.074779808521
15.249500275;0.06947491318
15.299500465;0.065304689109
15.349499702;0.060578864068
15.399499893;0.054003939033
15.449500084;0.048738505691
15.499500275;0.04671497643
15.549500465;0.046303361654
15.599499702;0.048000715673
15.649499893;0.052934329957
15.699500084;0.060662414879
15.749500275;0.068690292537
15.799500465;0.077312417328
15.849499702;0.086794018745
15.899499893;0.09725472331
15.949500084;0.10608093441
15.999500275;0.11225797236
16.049499512;0.11747645587
16.099500656;0.12206792831
16.149499893;0.12287984788
16.19949913;0.1220209077
16.249500275;0.11969459802
16.299499512;0.1150777787
16.349500656;0.10812912136
16.399499893;0.098820358515
16.44949913;0.090086869895
16.499500275;0.083613455296
16.549499512;0.079839892685
16.599500656;0.0768949911
16.649499893;0.075350373983
16.69949913;0.072244919837
16.749500275;0.069649837911
