Distance [mm];Wallthickness [mm]
0.0;0.79292672873
2.0007705688;0.79312258959
4.0017127991;0.79317700863
6.0029144287;0.79326963425
8.0044441223;0.79333734512
10.006252289;0.79336977005
12.008361816;0.79340696335
14.010837555;0.79342716932
16.013744354;0.79357033968
18.017230988;0.7937272191
20.021366119;0.79382681847
22.026138306;0.79392296076
24.031547546;0.79400068521
26.037509918;0.79414790869
28.044006348;0.79433882236
30.051147461;0.79463022947
32.058937073;0.79486387968
34.067462921;0.79519796371
36.076873779;0.79555094242
38.087276459;0.79589015245
40.098743439;0.79619145393
42.111026764;0.79649883509
44.125198364;0.79609453678
46.144233704;0.79508370161
48.171798706;0.7933831811
50.212665558;0.79016572237
52.270454407;0.78719609976
54.349170685;0.78301846981
56.456027985;0.77723616362
58.598373413;0.77044123411
60.781448364;0.76277250051
63.011276245;0.75058740377
65.297554016;0.73155206442
67.650688171;0.71106553078
70.079421997;0.69282919168
72.574867249;0.6832164526
75.125793457;0.67291975021
77.724380493;0.6709343195
80.352455139;0.67185866833
83.00328064;0.66956466436
85.669456482;0.6684049964
88.350479126;0.66458058357
91.055099487;0.66028344631
93.776809692;0.66254973412
96.516342163;0.66214478016
99.274284363;0.65872365236
102.07318878;0.63463532925
104.95748901;0.60360991955
107.89762878;0.60296183825
110.84447479;0.61086690426
113.75405121;0.62871599197
116.59191895;0.62908607721
119.39093018;0.61311167479
122.17665863;0.61402601004
124.90293121;0.64187592268
127.51033783;0.68535220623
129.98138428;0.72534394264
132.36357117;0.73549026251
134.70550537;0.7402125001
137.00410461;0.75140541792
139.25161743;0.7615647912
141.45419312;0.76851630211
143.61764526;0.77511525154
145.74665833;0.78071248531
147.84709167;0.78548818827
149.92297363;0.78995031118
151.97801208;0.79343962669
154.01672363;0.79610568285
156.04374695;0.79780113697
158.06304932;0.79894179106
160.07774353;0.79928678274
162.08935547;0.79967623949
164.09809875;0.79990667105
166.10443115;0.80002790689
168.10874939;0.80006855726
170.11134338;0.80010390282
172.11245728;0.80011749268
174.11265564;0.80003160238
176.1125946;0.79998505116
178.11248779;0.79998749495
180.11231995;0.80001324415
182.11206055;0.80004048347
184.11174011;0.80005806684
186.11134338;0.80006551743
188.11090088;0.80006957054
190.11044312;0.80007350445
192.10997009;0.80007076263
194.10949707;0.80005395412
196.10905457;0.80003392696
198.1086731;0.80001437664
200.10832214;0.80000424385
202.10801697;0.80001193285
204.10772705;0.80003118515
206.10746765;0.80003237724
208.10719299;0.80002647638
210.1068573;0.80003249645
212.10643005;0.80004364252
214.10591125;0.80004405975
216.10531616;0.80004060268
218.10470581;0.80005246401
220.10411072;0.80006438494
222.10348511;0.80010062456
224.10275269;0.80008971691
226.10194397;0.80007863045
228.1010437;0.80009245872
230.10006714;0.80009776354
232.09902954;0.80010056496
234.0980072;0.80010044575
236.09700012;0.80010765791
238.09599304;0.80012607574
240.09495544;0.800126791
242.09385681;0.80012822151
244.09266663;0.80012953281
246.09211731;0.80012536049
248.09153748;0.80015087128
250.09022522;0.80015575886
252.08885193;0.80016356707
254.08740234;0.80017185211
256.08575439;0.80021899939
258.0838623;0.80029129982
283.40750122;0.80093801022
