Distance [mm];Wallthickness [mm]
0.0;0.99628865719
2.0003466606;0.99617993832
4.0006089211;0.99603426456
6.0008120537;0.9958833456
8.0009155273;0.99565243721
10.000980377;0.99520123005
12.00100708;0.99465197325
14.000946045;0.99419122934
16.000808716;0.99363946915
18.000598907;0.99307990074
20.000320435;0.99233841896
21.999984741;0.99171173573
23.999794006;0.99127817154
26.000083923;0.99105763435
28.001060486;0.99124968052
30.002914429;0.99164259434
32.005893707;0.99220615625
34.01014328;0.99291020632
36.015796661;0.99343538284
38.023090363;0.99382358789
40.032539368;0.99377995729
42.044315338;0.99392646551
44.05840683;0.9938146472
46.075702667;0.9931961894
48.099403381;0.99096649885
50.135555267;0.98662430048
52.193401337;0.97850114107
54.281112671;0.96958005428
56.401165009;0.96120852232
58.556797028;0.9495909214
60.763408661;0.92718690634
63.041923523;0.89597922564
65.397094727;0.86607640982
67.822341919;0.84157055616
70.308921814;0.82753968239
72.846946716;0.81555145979
75.433158875;0.80689108372
78.059280396;0.80325460434
80.709083557;0.80515682697
83.376327515;0.80496633053
86.059829712;0.80661445856
88.753463745;0.80776083469
91.455718994;0.80679404736
94.163887024;0.80786973238
96.878585815;0.80660867691
99.596832275;0.80972719193
102.31594086;0.80750888586
105.04008484;0.80541551113
107.77284241;0.79914194345
110.49524689;0.80487912893
113.18894196;0.81157749891
115.85620117;0.81910085678
118.48823547;0.83187812567
121.07324982;0.84873008728
123.59050751;0.87640911341
126.03592682;0.89637511969
128.42701721;0.91355347633
130.7698822;0.92788290977
133.07228088;0.93473351002
135.33853149;0.94274443388
137.57037354;0.9490930438
139.77297974;0.95510834455
141.94715881;0.96196562052
144.09407043;0.96781736612
146.21762085;0.97229117155
148.32148743;0.97644776106
150.40797424;0.97990518808
152.47990417;0.9818482995
154.5382843;0.98553586006
156.58178711;0.9905089736
158.61222839;0.99374210835
160.63270569;0.99641603231
162.64503479;0.99848604202
164.6519165;0.99943292141
166.65635681;0.99959594011
168.65974426;0.99976587296
170.66227722;0.99986559153
172.66409302;1.0000053644
174.66545105;0.99997603893
176.66664124;0.99992179871
178.6678009;0.99984765053
180.66894531;0.9998383522
182.67002869;0.999817729
184.67106628;0.99979734421
186.67204285;0.99980276823
188.67295837;0.99981939793
190.67379761;0.9998293519
192.67456055;0.99983090162
194.67523193;0.99984377623
196.67575073;0.9998870492
198.67614746;0.99996238947
200.67643738;1.000007391
202.67660522;1.0000317097
204.67663574;1.000038147
206.67654419;1.0000282526
208.67631531;1.0000151396
210.67593384;1.0000208616
212.67536926;1.0000529289
214.6746521;1.0000860691
216.67375183;1.0001138449
218.67268372;1.0001554489
220.67144775;1.0001983643
222.67008972;1.0002157688
224.6686554;1.00020051
226.667099;1.0002315044
228.66546631;1.0002610683
230.66374207;1.0003079176
232.66181946;1.0004622936
234.65986633;1.0002717972
236.65803528;1.0002791882
238.65612793;1.000266552
240.65419006;1.0002723932
242.65223694;1.0003131628
244.65028381;1.0003182888
246.64851379;1.0002442598
248.64709473;1.0000436306
250.64550781;1.0001665354
252.64323425;0.9999961853
254.63967896;1.0001370907
256.63418579;1.0008370876
281.9538269;1.0020407438
