Distance [mm];Wallthickness [mm]
0.0;1.1910237074
2.0025062561;1.1912045479
4.0044288635;1.1914652586
6.0056686401;1.1917006969
8.0063171387;1.192030549
10.006660461;1.192569375
12.006958008;1.1931705475
14.007379532;1.1937175989
16.007978439;1.1942062378
18.008777618;1.1946533918
20.009765625;1.1950440407
22.010904312;1.1954380274
24.012159348;1.1956771612
26.013500214;1.1958338022
28.014900208;1.195988059
30.016353607;1.1961615086
32.017818451;1.1964099407
34.019275665;1.196696043
36.020687103;1.1969693899
38.0219841;1.1972101927
40.02318573;1.1973460913
42.024337769;1.1976542473
44.02538681;1.1980158091
46.026138306;1.198205471
48.025508881;1.1988465786
50.021408081;1.2003674507
52.009952545;1.2039884329
53.984584808;1.210477829
55.937084198;1.2209669352
57.857204437;1.2379752398
59.737670898;1.2580435276
61.576507568;1.2837996483
63.372112274;1.3180226088
65.116744995;1.36376369
66.807273865;1.4002552032
68.455055237;1.4237313271
70.075126648;1.4310780764
71.671714783;1.4435950518
73.242889404;1.4497646093
74.788764954;1.4584531784
76.312240601;1.45830369
77.820503235;1.4584703445
79.316421509;1.4590622187
80.800521851;1.4613593817
82.269950867;1.4690092802
83.727210999;1.4711024761
85.179969788;1.4677009583
86.63621521;1.4581234455
88.093986511;1.4586259127
89.552101135;1.4504138231
91.01360321;1.4467318058
92.48361969;1.434964776
93.968063354;1.4269711971
95.469940186;1.4116083384
96.992477417;1.3923579454
98.541114807;1.3602262735
100.11377716;1.3451968431
101.7072525;1.3304730654
103.33053589;1.3135877848
104.98783112;1.2999931574
106.67816162;1.2879048586
108.40042114;1.2775520086
110.15413666;1.2673485279
111.93904877;1.2579848766
113.75421906;1.2485522032
115.59879303;1.2396333218
117.4716568;1.2313606739
119.37175751;1.2233227491
121.29738617;1.2161394358
123.24577332;1.2099045515
125.21284485;1.2051728964
127.19257355;1.2027561665
129.17933655;1.2018398046
131.17015076;1.2008320093
133.16351318;1.2005239725
135.15884399;1.2003676891
137.15562439;1.2004547119
139.15310669;1.2003878355
141.15107727;1.2003002167
143.14920044;1.2003383636
145.14749146;1.2002214193
147.14611816;1.2001787424
149.14479065;1.2000838518
151.14332581;1.199894309
153.14178467;1.1997208595
155.1403656;1.1996985674
157.13911438;1.1999553442
159.13798523;1.2000912428
161.13696289;1.2001767159
163.13597107;1.2001860142
165.13499451;1.2001839876
167.13401794;1.2001633644
169.13302612;1.2001693249
171.13201904;1.2001991272
173.13098145;1.2002106905
175.12991333;1.2002152205
177.1288147;1.2002089024
179.12773132;1.2001897097
181.12669373;1.2001922131
183.12573242;1.2001805305
185.12486267;1.2001751661
187.12409973;1.2001494169
189.12350464;1.2001103163
191.12301636;1.2001029253
193.12265015;1.200075984
195.12237549;1.2000441551
197.12219238;1.200024724
199.12211609;1.2000018358
201.12217712;1.1999742985
203.12236023;1.1999611855
205.12263489;1.1999424696
207.12298584;1.199935317
209.12342834;1.1999297142
211.12397766;1.199914813
213.12458801;1.1999138594
215.1252594;1.1999013424
217.12597656;1.1998835802
219.12672424;1.1998687983
221.12747192;1.1998443604
223.12826538;1.1998062134
249.751297;1.1998108625
