Angle[degree];Secondary axis[mm];Main axis[mm];Out-of-roundness[-];Collapse[mm]
0.0;21.306970953098183;20.53624273063501;0.03652740390820726;0.6924364687092677
1.0;21.302987937768048;20.481795475455762;0.03891907404323631;0.7475766466571017
2.0;21.311868906394107;20.433224908055273;0.04164189565586891;0.7912462533755118
3.0;21.310873174799926;20.39289914086722;0.043505878385436236;0.8261327007321029
4.0;21.297692077627055;20.354500554977015;0.04470102003080755;0.8525760768340973
5.0;21.300673993977842;20.33574684789456;0.04573114436413666;0.8689001973615902
6.0;21.310267442417885;20.311494224355272;0.04733522360486318;0.8841805695595539
7.0;21.304825330026603;20.301346348281342;0.0475582455803441;0.8929861184516454
8.0;21.307766522235163;20.286017625972583;0.048424118306283376;0.9001901757746609
9.0;21.302840317256734;20.2795125119287;0.04849894811981202;0.9071038405390723
10.0;21.307337905202978;20.276242041142932;0.048867102562087456;0.9063902503589318
11.0;21.302384151782725;20.272913001728632;0.04879010189829823;0.9127028419499652
12.0;21.301027794783852;20.27136945715133;0.0487989733475129;0.9119702523174453
13.0;21.302488035721872;20.272923355616832;0.04879453460213457;0.9123452861065218
14.0;21.302398335240696;20.2744442158509;0.048718204710416914;0.909571243076897
15.0;21.30163640376565;20.283982405535987;0.04823004730946264;0.9029593130196574
16.0;21.302746574033343;20.284506677764444;0.04825781498904732;0.9010425239010189
17.0;21.30211327452859;20.294507709997323;0.0477538182242307;0.8906120069874675
18.0;21.304753261041377;20.288608991691603;0.04815849617771437;0.8930430283981536
19.0;21.305242382971677;20.292385669495513;0.048002687842472254;0.8882982893891835
20.0;21.307824509143284;20.287966153335287;0.04833451923260651;0.8877529333225525
21.0;21.308626353991897;20.289251059841515;0.048311625315184;0.8821867262126872
22.0;21.31254239676026;20.288434785910464;0.0485359057274785;0.8760194383383819
23.0;21.31457587270424;20.288933224330165;0.048608656321046155;0.8703227659573827
24.0;21.316567314070127;20.290889599566245;0.04861031822293278;0.8592069539634011
25.0;21.31935002557401;20.29019706072415;0.048775022030799066;0.8512366377582836
26.0;21.322638716371674;20.295010033338908;0.048702781186387024;0.8351330388236562
27.0;21.324928415887314;20.29378192408606;0.04886950198110215;0.8268692522813481
28.0;21.327040709191614;20.299170805609;0.048714213439934394;0.8076274679905993
29.0;21.329319845465168;20.29824146214976;0.048866274090777574;0.7940491977246893
30.0;21.33146291200999;20.299207449756903;0.04892205982242116;0.7743809630086602
31.0;21.33323158810988;20.302785632957352;0.04883630119206285;0.7558577589753313
32.0;21.33483568187391;20.30580494135747;0.04876922940836208;0.7326723467812712
33.0;21.336339750535863;20.315501289307786;0.04838096972644916;0.7087350576114986
34.0;21.33778450469836;20.319865574464817;0.04824260332860387;0.6865507486892568
35.0;21.33927302001326;20.337150753489254;0.04749394628075851;0.6591459789364222
36.0;21.340854185534326;20.343313657133944;0.047276802293856966;0.6363255554037437
37.0;21.34231614900495;20.36570969396601;0.04628466611558958;0.6071786325017641
38.0;21.34384762831859;20.372647943875315;0.04602842106366227;0.5895551994976742
39.0;21.34554753188336;20.394314512831404;0.045082133604358046;0.5605658835186134
40.0;21.347400879446866;20.399011848205127;0.0449473474522151;0.5433808669297875
41.0;21.349466774882593;20.409077355514007;0.044568218927421126;0.521715062116904
42.0;21.350317369773883;20.41334222475515;0.04440640497719107;0.503660504669746
43.0;21.351324155098514;20.420679726450636;0.04410637102596574;0.4825501577748881
44.0;21.352282243370666;20.424350029978957;0.043977830018564444;0.4630410248498009
45.0;21.353532286594884;20.42523923776135;0.04399493122433813;0.44711408096814154
46.0;21.353406386819984;20.432672500232147;0.04363667708947091;0.42540546313998817
47.0;21.354074443269646;20.4343057478397;0.04359093343269878;0.407295453094342
48.0;21.35451743237034;20.442380872093267;0.04322922086621199;0.38292938396608633
49.0;21.354160175259835;20.43879508850253;0.04338223159987226;0.36797487865349865
50.0;21.354455237794838;20.449771647428005;0.0428759995434518;0.342069280571927
51.0;21.35449407600533;20.446650408971145;0.04302576621015099;0.32531179748867345
52.0;21.354739638286247;20.449661804282094;0.042894684076026215;0.3057933950711913
53.0;21.353319898042038;20.447271683593854;0.04294067367053004;0.2881727020660634
54.0;21.351806800795238;20.452841809951806;0.042604975869356944;0.2691956768118047
55.0;21.350037252028574;20.45052496114196;0.04263091426002918;0.25204386672552204
56.0;21.34847637225152;20.449669247548503;0.04259749406175429;0.24245074645087072
57.0;21.34575917629588;20.45465215757416;0.042232560128991424;0.2256841563524219
58.0;21.343309438683168;20.455881503948696;0.0420581959589797;0.217769129032078
59.0;21.3406044562545;20.4596267789646;0.041752496554023626;0.20605401192693762
60.0;21.33831429110635;20.462151257195156;0.04152431440337411;0.20326257770244638
61.0;21.336207578518827;20.475847569225223;0.04077535589069214;0.19204090851508937
62.0;21.334294624387365;20.483819297042636;0.040306887551882865;0.18796922466931676
63.0;21.33252237096349;20.491684689233796;0.03985012709619393;0.18494666782196845
64.0;21.330963057841092;20.50374663964199;0.03920456958289591;0.1800297405140867
65.0;21.32930504116664;20.518217402959053;0.038440172426899934;0.17731846505068205
66.0;21.32778126728167;20.533627590138753;0.03763761503046993;0.17171629309481773
67.0;21.32785374997799;20.538044155061623;0.03743173435622591;0.17870050255844916
68.0;21.32498637242459;20.553911673448756;0.0365438245960111;0.1737935458581532
69.0;21.321766353832018;20.56155288326575;0.03602907443442024;0.1822541033031797
70.0;21.322801862816632;20.56725496583379;0.03580790980961339;0.18883559857330567
71.0;21.31849602677661;20.573253929417927;0.03531953068050635;0.1971949830902986
72.0;21.316304991335503;20.577873811838423;0.034996738364790544;0.20537988009708386
73.0;21.315713024091593;20.587761142604673;0.0345000891699962;0.21361862693689204
74.0;21.312739766445517;20.58389087228989;0.034542601618750175;0.23119052322601874
75.0;21.304934927183858;20.593405593922288;0.03372176934888957;0.23780166319148321
76.0;21.311375106239915;20.594178569685965;0.03399035718265162;0.2521757867162435
77.0;21.310274859800764;20.601168774613917;0.03360692346857091;0.26475365186373523
78.0;21.29873442756277;20.604759739246596;0.032889795654795;0.2771256321604483
79.0;21.29971753969515;20.60395463236731;0.032974545370987665;0.29337612847559313
80.0;21.309260937216255;20.602570035660705;0.03349245978936257;0.3100497685193986
81.0;21.303525680747185;20.59502797573981;0.0335780902847097;0.33461215025417346
82.0;21.28741108607118;20.595407967925887;0.032796356310203514;0.3503164824795988
83.0;21.30161963563385;20.593251402431168;0.03357195418022182;0.3655590444375676
84.0;21.305464819242438;20.595789077126447;0.03363392142729814;0.38357500739641637
85.0;21.295805496977714;20.603008031942238;0.03283400308225003;0.39310722409501864
86.0;21.289666136844133;20.598238247545943;0.03276909427953506;0.41588894670169196
87.0;21.299193049729862;20.591393866144646;0.03354498500403867;0.43389108168668855
87.57;21.300016505843182;20.589008502711067;0.033697061759815856;0.44191471530408677
88.0;21.297335827131228;20.589467026288567;0.03354828440012611;0.44514959248966335
89.0;21.290798886427275;20.59419355328854;0.03301447076486892;0.44412803787485444
90.0;21.289283183153383;20.607620287716195;0.03230629836195206;0.43178084472985745
90.03;21.289352554343434;20.608084531563478;0.03228758401800743;0.43126741399413504
