Angle[degree];Secondary axis[mm];Main axis[mm];Out-of-roundness[-];Collapse[mm]
0.0;21.55339398949903;21.101354558765713;0.0215256871777769;-0.08741834890666667
1.0;21.542359980774492;21.058951548635964;0.02301944914945373;-0.029358987043060836
2.0;21.53306812828643;21.011002955177496;0.024860246338520704;0.008599969860426881
3.0;21.526236272238407;20.95204716214992;0.027342338575642208;0.03101472549349893
4.0;21.521334090749484;20.889605830901356;0.030082298088006082;0.040509331071405086
5.0;21.516348367758823;20.801900301562558;0.034021336485536444;0.03893540493216108
6.0;21.50998978111833;20.7090343654749;0.03814073407825853;0.025740488458488642
7.0;21.50440371360979;20.62215665162945;0.04201176485620669;0.010798102064043746
8.0;21.49842204952793;20.539732898920892;0.04565186431462093;-0.011819473978427197
9.0;21.49057427545587;20.516040526804513;0.04640636898339795;-0.034600934228478764
10.0;21.481607816872383;20.50033267466738;0.04672738772404778;-0.055734080118313045
11.0;21.4689221197479;20.521702808659605;0.04510568148039509;-0.07839007050316127
12.0;21.460195501348636;20.557136243066076;0.04300282182297907;-0.08425312729286816
13.0;21.448031886247563;20.628785075231566;0.039011752905523674;-0.09327897588214995
14.0;21.438177007157172;20.698369645277282;0.035228921994280495;-0.07886106632939516
15.0;21.429492566663207;20.76238901287116;0.03176683589485933;-0.0593943189444488
16.0;21.417923538053387;20.793252573979895;0.02974623638445197;-0.015856083736295545
17.0;21.413456552478507;20.808423831043232;0.02881108197310836;0.034629335758225466
18.0;21.406725397330234;20.806229591279077;0.028595038383388425;0.08694230872082187
19.0;21.40483478139521;20.78459493879155;0.02953523060017426;0.1466170195788976
20.0;21.396801684549843;20.736487144945368;0.03144354950497498;0.19871703131732232
21.0;21.397654027541662;20.678538560732438;0.03424359365758212;0.24859737860194997
22.0;21.395084873615524;20.61858720804476;0.03697607931289343;0.28228726191194653
23.0;21.390097446381105;20.569557672726027;0.03907332255500371;0.2938582011919877
24.0;21.387020761429362;20.516595691629288;0.04144881284762258;0.2942710983300074
25.0;21.39038213325057;20.47297719566954;0.04368594940862044;0.28349405048643916
26.0;21.379777833924194;20.43549925396354;0.04496564666479315;0.26488906342466834
27.0;21.38012629887193;20.420559266207658;0.04569366822210815;0.23567653829246638
28.0;21.36691499842449;20.406732435014785;0.045722979209986005;0.21181762889329292
29.0;21.359752506378626;20.425965870928675;0.04446603025952151;0.17844379618104966
30.0;21.338720408885017;20.427540866608556;0.0433895020131648;0.16392492703440809
31.0;21.32838684872638;20.47985366620909;0.040406342024632856;0.14735867323800989
32.0;21.332291773337403;20.521686866805666;0.038600233644368404;0.1431701538415595
33.0;21.323260827408284;20.566052287918726;0.03605754949950273;0.1477072194084954
34.0;21.315644820380626;20.586306418882952;0.034730400071317835;0.16587278997901933
35.0;21.32302112602339;20.575280085667806;0.035606716207408816;0.19421843241640602
36.0;21.333866184686684;20.560041796645994;0.03684878038289002;0.21983414507742793
37.0;21.34418754364431;20.530045740298892;0.03876865730216276;0.2532096663071428
38.0;21.350497357079306;20.50226556698327;0.04039199000457318;0.27941175342569124
39.0;21.364575304939216;20.46608576636484;0.042785216122589245;0.31094488337358683
40.0;21.378277109223767;20.43723480056733;0.04481153850744929;0.33320097345533384
41.0;21.391122691553825;20.410218879793323;0.04670970532192867;0.35191845022587387
42.0;21.399885493306513;20.39097979470993;0.04804312850459914;0.36631280407940636
43.0;21.406140218670636;20.381408252784475;0.048796760280293394;0.37417109068314147
44.0;21.414206543157192;20.376063063509537;0.04943540379274546;0.37949985509155226
45.0;21.4171585284424;20.377706206194855;0.04949772963083547;0.3761220739246838
46.0;21.41995845143652;20.376333126693098;0.04969644403540113;0.3743951705263697
47.0;21.418345908433437;20.38070011726742;0.04941170434123893;0.3635416570314902
48.0;21.418952691264295;20.38923344626497;0.049034249761872574;0.35103688106520536
49.0;21.414760650270622;20.396418221896557;0.04849249658924122;0.33719605201221015
50.0;21.410405714195747;20.411582305794248;0.04756301944769043;0.3191187453498685
51.0;21.406742690103663;20.41859965515453;0.047054430235672975;0.3073821125652003
52.0;21.402736610489292;20.43528754342692;0.04606900319344628;0.2907262868434799
53.0;21.398002786788695;20.437746570372855;0.04572648649599235;0.2852619477040861
54.0;21.39197797709982;20.450029756384353;0.04485467717692701;0.2749573067281972
55.0;21.389053380168065;20.45091447951484;0.04467328098348692;0.27368504143507266
56.0;21.38507513511412;20.453878202026072;0.04434271109943092;0.274871552206541
57.0;21.381794704888392;20.45508579399517;0.04412899575682009;0.2737236010662727
58.0;21.380797772211224;20.45345857581073;0.04415900935240456;0.27869634084735395
59.0;21.381492635965216;20.45330584091871;0.04419937119269081;0.2784111238248883
60.0;21.3810662782141;20.45079126286394;0.04429881025476945;0.2855503754833464
61.0;21.382498536083702;20.449624099167988;0.04442259223408163;0.2863524800608914
62.0;21.38487795479442;20.452427950339306;0.04440238116452919;0.2882802176057666
63.0;21.38771473308202;20.450003824107725;0.044652900427347424;0.29096603839946766
64.0;21.390009122246227;20.4599706419537;0.044287546680596535;0.2880080032193604
65.0;21.39315678812565;20.45959917028726;0.04445512465897107;0.2894858181325759
66.0;21.396376764505135;20.47108620209467;0.04406145535287921;0.2849750698057676
67.0;21.39940275434455;20.472880491857733;0.044120107737467454;0.28480541313208363
68.0;21.40260294448116;20.485416393817513;0.04367555003160225;0.28045005967702963
69.0;21.40599541364304;20.49146225427092;0.04354919806533902;0.2763807494265791
70.0;21.40915020906492;20.49878407296887;0.043350768385526095;0.27589081932717363
71.0;21.411488149714145;20.50855457276554;0.042996836997552634;0.26796666085922993
72.0;21.41335977010297;20.515732888455826;0.04274413722129263;0.2687138912294671
73.0;21.414925915049956;20.522180422911365;0.04251169010183766;0.26466342928866027
74.0;21.416499209315347;20.531084325533445;0.042162613513423895;0.26316257172316426
75.0;21.415373894226455;20.53600368830253;0.04187477171066317;0.26216368655652644
76.0;21.413201114778715;20.54839490098716;0.04118124827578841;0.25888216917636697
77.0;21.41256307187085;20.54794971150158;0.041172064779488995;0.26454228980946226
78.0;21.408569505267877;20.557109897261487;0.04054569561935192;0.2632675012051777
79.0;21.403490371333604;20.558164814282478;0.04025359795481552;0.26894706652072387
80.0;21.39738465798102;20.56248458101477;0.03975714652220253;0.27390787675291506
81.0;21.39213015844195;20.569941515150468;0.03915184015673728;0.27446514955848755
82.0;21.385667488736203;20.57585340234847;0.03856257554227295;0.2758304805417424
