Distance [mm];Wallthickness [mm]
0.0;0.99489104748
2.0003848076;0.99475979805
4.000705719;0.99457883835
6.0009841919;0.99436593056
8.0011901855;0.9940764308
10.001361847;0.99360918999
12.001491547;0.99306535721
14.001560211;0.99264419079
16.001598358;0.99214828014
18.001598358;0.99162226915
20.001529694;0.99091714621
22.001449585;0.99038398266
24.001544952;0.99002546072
26.002101898;0.98989295959
28.003292084;0.99023532867
30.005283356;0.99075901508
32.008247375;0.99142324924
34.012283325;0.99216961861
36.017551422;0.99274492264
38.024291992;0.99320554733
40.033031464;0.99328422546
42.043872833;0.9935734868
44.056716919;0.99363219738
46.07252121;0.99309825897
48.094554901;0.99100828171
50.128765106;0.98685979843
52.184814453;0.97848469019
54.270828247;0.96994179487
56.389667511;0.96112269163
58.545131683;0.94928443432
60.752304077;0.92659246922
63.032154083;0.89503055811
65.388664246;0.86538106203
67.815109253;0.84078496695
70.302467346;0.82726848125
72.840209961;0.81556081772
75.424880981;0.80724573135
78.048179626;0.80379986763
80.694755554;0.80565226078
83.358589172;0.80554300547
86.038360596;0.80696684122
88.729598999;0.80705410242
91.430305481;0.80656647682
94.136062622;0.80775052309
96.843360901;0.81016111374
99.553779602;0.81168150902
102.26744843;0.81246769428
104.98682404;0.80806213617
107.70832062;0.80603337288
110.41907501;0.81016355753
113.11837006;0.8171313405
115.79373169;0.82993066311
118.43108368;0.8402608037
121.03192902;0.84783917665
123.60158539;0.85471326113
126.13925171;0.86577326059
128.61885071;0.88520354033
131.022995;0.90686804056
133.37791443;0.91793680191
135.7028656;0.93048536777
137.99429321;0.93845283985
140.2461853;0.94842904806
142.45179749;0.95852702856
144.61257935;0.96773993969
146.73338318;0.97590434551
148.81904602;0.98373812437
150.8757019;0.98972243071
152.91056824;0.99461090565
154.93061829;0.99735850096
156.94194031;0.99889230728
158.94866943;0.99943143129
160.95297241;0.9997908473
162.9553833;1.0000417233
164.95649719;1.0000350475
166.95703125;0.99997740984
168.95739746;0.99994963408
170.95768738;0.99992883205
172.95799255;0.9999114871
174.95834351;0.99995177984
176.95866394;0.99998950958
178.95890808;1.0000523329
180.95898438;1.0001198053
182.9589386;1.0000989437
184.95884705;1.0000492334
186.95874023;1.0000373125
188.95857239;1.0000452995
190.95835876;1.0000458956
192.95809937;1.0000451803
194.95774841;0.99999421835
196.95735168;1.0000132322
198.95692444;1.0000624657
200.95645142;1.0001034737
202.95587158;1.0001544952
204.95521545;1.0001829863
206.95445251;1.0002163649
208.95361328;1.0002237558
210.95269775;1.000210762
212.95176697;1.0001839399
214.95085144;1.000156641
216.95001221;1.0001089573
218.94926453;1.000062108
220.94856262;1.0000426769
222.94789124;1.0000617504
224.94723511;1.000041604
226.94657898;1.0000386238
228.94589233;1.0000253916
230.94519043;1.0000801086
232.94447327;1.0001481771
234.94381714;1.0001622438
236.94314575;1.0002061129
238.94239807;1.0001777411
240.94152832;1.0000605583
242.94015503;1.0000123978
244.93855286;0.99992513657
246.93757629;0.99983161688
248.93707275;0.99964207411
250.93661499;0.99975425005
252.93623352;0.99935561419
254.93386841;1.000379324
256.92938232;1.0007590055
282.25009155;1.0028026104
