Distance [mm];Wallthickness [mm]
0.0;0.79662495852
2.0013337135;0.7962886095
4.0025429726;0.79603874683
6.0038628578;0.79584699869
8.0052213669;0.79546290636
10.006789207;0.79543977976
12.008738518;0.7955186367
14.011206627;0.79541176558
16.014169693;0.79550284147
18.017671585;0.79540085793
20.021879196;0.79497593641
22.027044296;0.79452836514
24.032846451;0.79488688707
26.038965225;0.79480028152
28.045438766;0.79461783171
30.052457809;0.79436552525
32.060199738;0.79436683655
34.068874359;0.79415172338
36.078121185;0.79443764687
38.0871315;0.79444754124
40.097961426;0.79286301136
42.110134125;0.79452955723
44.12273407;0.79456532001
46.135929108;0.79545849562
48.151760101;0.79396796227
50.177555084;0.79094433784
52.22121048;0.78599619865
54.287406921;0.78178822994
56.38344574;0.77338790894
58.51700592;0.7644110918
60.697994232;0.75069135427
62.963069916;0.71916955709
65.315322876;0.69932037592
67.743873596;0.67231315374
70.240570068;0.66335183382
72.773284912;0.65763694048
75.340377808;0.65490597486
77.940696716;0.65624886751
80.556663513;0.65878224373
83.185264587;0.65401148796
85.828369141;0.65348803997
88.492912292;0.6489598155
91.175857544;0.65240371227
93.874824524;0.65154612064
96.602401733;0.64426022768
99.395584106;0.61099171638
102.25151062;0.59445667267
105.110672;0.60160201788
107.96388245;0.60931235552
110.78741455;0.62380212545
113.56890869;0.61317080259
116.33885193;0.59702390432
119.11050415;0.59764879942
121.83013153;0.62808126211
124.43899536;0.6669113636
126.91884613;0.71107941866
129.29324341;0.72996461391
131.62269592;0.73543423414
133.92102051;0.74888074398
136.18055725;0.75600451231
138.40492249;0.76207834482
140.59295654;0.76858824492
142.74679565;0.77490329742
144.87129211;0.77972763777
146.96989441;0.78468245268
149.04559326;0.78831470013
151.10205078;0.79210090637
153.14328003;0.79427504539
155.17347717;0.79607445002
157.19674683;0.79633808136
159.21452332;0.7978976965
161.22650146;0.79881411791
163.23474121;0.79924142361
165.24082947;0.79950922728
167.2454071;0.799700737
169.24859619;0.79986649752
171.25047302;0.80002826452
173.25164795;0.79987168312
175.25270081;0.79960817099
177.25370789;0.79953581095
179.25460815;0.79961526394
181.25540161;0.79980123043
183.25611877;0.7998765111
185.2567749;0.79987519979
187.25737;0.79983824492
189.25788879;0.79985272884
191.258255;0.79994606972
193.25854492;0.79993259907
195.25886536;0.79991132021
197.25920105;0.79987365007
199.25973511;0.79973620176
201.26026917;0.79993849993
203.26055908;0.79997426271
205.26077271;0.79997831583
207.26091003;0.79999756813
209.26095581;0.80003339052
211.26091003;0.80000066757
213.26075745;0.79999184608
215.2605896;0.79996812344
217.26036072;0.80002212524
219.26005554;0.80008745193
221.25973511;0.80011445284
223.25944519;0.80004954338
225.25912476;0.79998469353
227.25871277;0.79998123646
229.258255;0.79998552799
231.25767517;0.80009198189
233.25691223;0.80009001493
235.25592041;0.80004549026
237.25465393;0.79991966486
239.2532196;0.79988741875
241.25189209;0.79988199472
243.25035095;0.7997944355
245.24801636;0.79972010851
247.24536133;0.79968512058
249.24278259;0.799877882
251.23983765;0.79980951548
253.23548889;0.79977506399
255.22932434;0.7990770936
257.22335815;0.79839885235
282.54403687;0.800819695
