Distance [mm];Wallthickness [mm]
0.0;1.1944378614
1.9999501705;1.1942900419
3.9998347759;1.1940844059
5.9996871948;1.1937873363
7.9994893074;1.1933572292
9.9992456436;1.1928465366
11.998940468;1.1923128366
13.998558998;1.1917093992
15.998166084;1.191349864
17.997867584;1.1912051439
19.997833252;1.1910685301
21.998252869;1.1908186674
23.999282837;1.1906838417
26.001060486;1.1906579733
28.003780365;1.1907725334
30.007602692;1.1909524202
32.012702942;1.191264987
34.019313812;1.1916509867
36.02771759;1.1920394897
38.038215637;1.1922706366
40.051193237;1.1922787428
42.067237854;1.1920260191
44.087265015;1.1913206577
46.113258362;1.1894862652
48.149284363;1.1856510639
50.201564789;1.1790372133
52.276493073;1.1703169346
54.377845764;1.1614772081
56.508228302;1.1512577534
58.673366547;1.135784626
60.88710022;1.1088389158
63.16268158;1.0766290426
65.508750916;1.0367844105
67.918563843;1.0107851028
70.385063171;0.98820739985
72.908416748;0.97551804781
75.477745056;0.96564352512
78.085144043;0.96116995811
80.718757629;0.96111619473
83.374984741;0.95864850283
86.049003601;0.96084147692
88.734230042;0.96157974005
91.429382324;0.96306437254
94.132316589;0.96426409483
96.838691711;0.96689254045
99.544021606;0.96858555079
102.25330353;0.96565115452
104.97005463;0.96461653709
107.6897049;0.96510720253
110.39800262;0.97067719698
113.08440399;0.97639077902
115.74640656;0.98194098473
118.37837219;0.99244850874
120.96698761;1.0132582188
123.4952774;1.0411360264
125.95820618;1.0680578947
128.36499023;1.0904103518
130.72659302;1.1050294638
133.04995728;1.1154484749
135.33717346;1.1252198219
137.59069824;1.1330174208
139.81069946;1.1425622702
141.99655151;1.151419282
144.15103149;1.1594524384
146.27684021;1.1670792103
148.37701416;1.1734497547
150.45466614;1.1791715622
152.51123047;1.1856130362
154.54901123;1.1910665035
156.57287598;1.1949179173
158.5881958;1.196922183
160.59819031;1.1984890699
162.60429382;1.1993824244
164.60800171;1.1997770071
166.61048889;1.1998790503
168.61245728;1.1998603344
170.61413574;1.1998457909
172.61558533;1.199831605
174.61688232;1.1998275518
176.61807251;1.1997982264
178.61917114;1.199816823
180.62014771;1.1997920275
182.62103271;1.199772954
184.62181091;1.1997818947
186.62246704;1.1998280287
188.62301636;1.1998969316
190.6234436;1.1999466419
192.62374878;1.1999560595
194.62391663;1.1999747753
196.62394714;1.2000020742
198.62387085;1.2000386715
200.623703;1.2000780106
202.6234436;1.2001042366
204.62310791;1.2001235485
206.62272644;1.2001439333
208.62232971;1.2001321316
210.62190247;1.200070858
212.62147522;1.2000259161
214.62104797;1.200026989
216.62060547;1.2000582218
218.62013245;1.2000938654
220.61964417;1.2000875473
222.61917114;1.2000699043
224.61875916;1.2000608444
226.61842346;1.2000505924
228.61817932;1.2000333071
230.61801147;1.1999794245
232.61787415;1.1999200583
234.61775208;1.199826479
236.61759949;1.1996548176
238.61740112;1.199226141
240.61698914;1.1993414164
242.61634827;1.1990654469
244.6164093;1.1995110512
246.61625671;1.1998724937
248.61538696;1.2001086473
250.61430359;1.2002259493
252.61277771;1.2003288269
254.61074829;1.200343132
256.60720825;1.2016351223
281.92706299;1.2036520243
