Time [s];Movement [mm]
5.0999999046;-51.220409393
5.1500000954;-51.220409393
5.1999998093;-51.220409393
5.25;-51.220409393
5.3000001907;-51.220409393
5.3499999046;-51.220409393
5.4000000954;-51.220409393
5.4499998093;-51.220409393
5.5;-51.220409393
5.5500001907;-51.220409393
5.5999999046;-51.220409393
5.6500000954;-51.220409393
5.6999998093;-51.220409393
5.75;-51.220409393
5.8000001907;-51.220409393
5.8499999046;-51.220409393
5.9000000954;-51.220409393
5.9499998093;-51.220409393
6.0;-51.220409393
6.0500001907;-51.220409393
6.0999999046;-51.220409393
6.1500000954;-51.220409393
6.1999998093;-51.220409393
6.25;-51.220409393
6.3000001907;-51.220409393
6.3499999046;-51.220409393
6.4000000954;-51.220409393
6.4499998093;-51.220409393
6.5;-51.220409393
6.5500001907;-51.220409393
6.5999999046;-51.220409393
6.6500000954;-51.220409393
6.6999998093;-51.220409393
6.75;-51.220409393
6.8000001907;-51.220409393
6.8499999046;-51.220409393
6.9000000954;-51.220409393
6.9499998093;-51.220409393
7.0;-51.220409393
7.0500001907;-51.220409393
7.0999999046;-51.220409393
7.1500000954;-51.220409393
7.1999998093;-51.220409393
7.25;-51.220409393
7.3000001907;-51.220409393
7.3499999046;-51.220409393
7.4000000954;-51.220409393
7.4499998093;-51.220409393
7.5;-51.220409393
7.5500001907;-51.220409393
7.5999999046;-51.220409393
7.6500000954;-51.220409393
7.6999998093;-51.220409393
7.75;-51.220409393
7.8000001907;-51.220409393
7.8499999046;-51.220409393
7.9000000954;-51.220409393
7.9499998093;-51.220409393
8.0;-51.220409393
8.0500001907;-51.220409393
8.1000003815;-51.220409393
8.1499996185;-51.220409393
8.1999998093;-51.220409393
8.25;-51.220409393
8.3000001907;-51.220409393
8.3500003815;-51.220409393
8.3999996185;-51.220409393
8.4499998093;-51.220409393
8.5;-51.220409393
8.5500001907;-51.220409393
8.6000003815;-51.220409393
8.6499996185;-51.220409393
8.6999998093;-51.220409393
8.75;-51.220409393
8.8000001907;-51.220409393
8.8500003815;-51.220409393
8.8999996185;-51.220409393
8.9499998093;-51.220409393
9.0;-51.220409393
9.0500001907;-51.220409393
9.1000003815;-51.220409393
9.1499996185;-51.220409393
9.1999998093;-51.220409393
9.25;-51.220409393
9.3000001907;-51.220409393
9.3500003815;-51.220409393
9.3999996185;-51.220409393
9.4495000839;-51.220409393
9.4995002747;-51.220409393
9.5495004654;-51.220409393
9.5994997025;-51.220409393
9.6494998932;-51.220409393
9.6995000839;-51.220409393
9.7495002747;-51.220409393
9.7995004654;-51.220409393
9.8494997025;-51.220409393
9.8994998932;-51.220409393
9.9495000839;-51.220409393
9.9995002747;-51.220409393
10.049500465;-51.220409393
10.099499702;-51.220409393
10.149499893;-51.220409393
10.199500084;-51.220409393
10.249500275;-51.220409393
10.299500465;-51.220409393
10.349499702;-51.220409393
10.399499893;-51.220409393
10.449500084;-51.220409393
10.499500275;-51.220409393
10.549500465;-51.220409393
10.599499702;-51.220409393
10.649499893;-51.220409393
10.699500084;-51.220409393
10.749500275;-51.220409393
10.799500465;-51.220409393
10.849499702;-51.220409393
10.899499893;-51.220409393
10.949500084;-51.220409393
10.999500275;-51.220409393
11.049500465;-51.220409393
11.099499702;-51.220409393
11.149499893;-51.220409393
11.199500084;-51.220409393
11.249500275;-51.220409393
11.299500465;-51.220409393
11.349499702;-51.220409393
11.399499893;-51.220409393
11.449500084;-51.220409393
11.499500275;-51.220409393
11.549500465;-51.220409393
