Distance [mm];Wallthickness [mm]
0.0;0.98849236965
2.0031738281;0.98888504505
4.0061340332;0.9890615344
6.0087661743;0.98909497261
8.0110778809;0.98932301998
10.013198853;0.98991852999
12.015197754;0.99053150415
14.017166138;0.99124842882
16.019283295;0.99213814735
18.02167511;0.99299514294
20.024253845;0.99371755123
22.026863098;0.99441814423
24.029373169;0.99512887001
26.03168869;0.99581420422
28.033798218;0.99648296833
30.035690308;0.9970896244
32.037342072;0.99759632349
34.038818359;0.9980416894
36.04019165;0.99838429689
38.041503906;0.99866873026
40.042789459;0.99892050028
42.044029236;0.99926024675
44.045200348;0.99951499701
46.046276093;0.9997176528
48.047065735;0.99996238947
50.046123505;1.0010149479
52.038902283;1.0042948723
54.017215729;1.0113567114
55.971992493;1.0220940113
57.899497986;1.0328667164
59.796360016;1.0484166145
61.658744812;1.0657613277
63.481002808;1.093255043
65.25088501;1.1324285269
66.971717834;1.1576844454
68.656349182;1.1778392792
70.313804626;1.1853734255
71.95161438;1.1914291382
73.575431824;1.1875588894
75.183044434;1.1926534176
76.773010254;1.18800807
78.355163574;1.1828132868
79.934623718;1.1785877943
81.500053406;1.1864403486
83.054191589;1.1667766571
84.585914612;1.1936597824
86.098426819;1.1833541393
87.578315735;1.2675615549
88.977783203;1.2868369818
90.4298172;1.1752359867
91.920288086;1.1604248285
93.390823364;1.1934838295
94.868690491;1.2180002928
96.337028503;1.2588857412
97.799827576;1.2119021416
99.323410034;1.1326013803
100.84503174;1.1179038286
102.39444733;1.0846247673
104.04755402;1.0762137175
105.76742554;1.0937310457
107.50162506;1.1078275442
109.26163483;1.0629734993
111.04452515;1.0521972179
112.83731079;1.0419299603
114.6711731;1.0306193829
116.55194092;1.0223864317
118.47136688;1.0145697594
120.41931152;1.0083515644
122.38494873;1.0059098005
124.3608551;1.003834486
126.34375763;1.0028508902
128.33108521;1.0022135973
130.32235718;1.0009849072
132.31652832;1.0009242296
134.31260681;1.0003530979
136.31007385;1.0003505945
138.30796814;1.000292778
140.30612183;1.0002595186
142.30444336;1.0002858639
144.30305481;1.0001494884
146.30198669;1.0001115799
148.30110168;1.0000989437
150.300354;1.0000910759
152.29972839;1.0000854731
154.29920959;1.0000476837
156.29875183;1.0000839233
158.29832458;1.0000718832
160.29798889;1.0000511408
162.29772949;1.0000300407
164.29756165;1.0000127554
166.29748535;0.99999606609
168.29751587;0.99998778105
170.2976532;0.99997526407
172.2979126;0.99995720387
174.29829407;0.99993640184
176.29876709;0.99992763996
178.29931641;0.99991410971
180.29995728;0.9999024868
182.3006897;0.99988925457
184.30155945;0.99987769127
186.30256653;0.99986058474
188.30375671;0.99982941151
190.30511475;0.99978858232
192.30659485;0.999745965
194.30821228;0.99971622229
196.30996704;0.99970811605
198.31182861;0.99970704317
200.31384277;0.99969768524
202.31600952;0.99966949224
204.31834412;0.99964118004
206.3208313;0.99960124493
208.32348633;0.99956190586
210.32627869;0.99952679873
212.32913208;0.99953013659
214.33201599;0.99952596426
216.33508301;0.99945437908
218.33869934;0.99925094843
220.34338379;0.99893093109
222.34928894;0.99864423275
224.35548401;0.99862188101
250.98390198;0.99785226583
