Time [s];Movement [mm]
0.0;0.0
0.049499999732;0.0
0.099500000477;0.0
0.1494999975;0.0
0.19949999452;0.0
0.24950000644;0.0
0.29949998856;0.0
0.34950000048;0.0
0.3995000124;0.0
0.44949999452;0.0
0.49950000644;-0.0027406089939
0.55000001192;-0.050695922226
0.60000002384;-0.11758244783
0.64999997616;-0.16165494919
0.69999998808;-0.16445940733
0.75;-0.18600949645
0.80000001192;-0.22827973962
0.85000002384;-0.23642337322
0.89999997616;-0.21545088291
0.94999998808;-0.18135148287
1.0;-0.13528689742
1.0499999523;-0.096383064985
1.1000000238;-0.074212640524
1.1499999762;-0.050996754318
1.2000000477;-0.0087632508948
1.25;0.0071510593407
1.2999999523;-0.00077055080328
1.3500000238;-0.0070297280326
1.3999999762;0.0018812500639
1.4500000477;0.0067324899137
1.5;-0.0029449856374
1.5499999523;-0.006267181132
1.6000000238;0.0039352024905
1.6499999762;0.0056454176083
1.7000000477;-0.004827179946
1.75;-0.004882721696
1.7999999523;0.0055584725924
1.8500000238;-0.016292896122
1.8999999762;-0.060178596526
1.9500000477;-0.11294711381
2.0;-0.17363572121
2.0499999523;-0.20802296698
2.0999999046;-0.19030936062
2.1500000954;-0.15746037662
2.2000000477;-0.10291338712
2.25;-0.070833384991
2.2999999523;-0.077660284936
2.3499999046;-0.066290087998
2.4000000954;-0.053856559098
2.4500000477;-0.041011169553
2.4995000362;-0.0014148594346
2.5494999886;-0.0095013165846
2.5994999409;-0.0037253438495
2.6494998932;0.0091678239405
2.6995000839;0.0014916319633
2.7495000362;-0.0094035025686
2.7994999886;-5.8754526435e-06
2.8494999409;0.0094044310972
2.8994998932;-0.001480027684
2.9495000839;-0.0091705862433
2.9995000362;0.0029289831873
3.0494999886;0.0087078055367
3.0994999409;-0.0043048192747
3.1494998932;-0.020949067548
3.1995000839;-0.054466463625
3.2495000362;-0.058242499828
3.2994999886;-0.08036340028
3.3494999409;-0.10074985772
3.3994998932;-0.11201985925
3.4495000839;-0.13481323421
3.4995000362;-0.11298424751
3.5494999886;-0.10633600503
3.5994999409;-0.10181096196
3.6494998932;-0.081998646259
3.6995000839;-0.063541330397
3.7495000362;-0.034971982241
3.7994999886;-0.011897175573
3.8494999409;0.012551075779
3.8994998932;0.0029746110085
3.9495000839;-0.013047073036
3.9995000362;-0.00091316923499
4.0494999886;0.01319135353
4.0995001793;-0.0011710689869
4.1494998932;-0.01300632488
4.1995000839;0.0032260725275
4.2494997978;0.012496603653
4.2994999886;-0.0052005401812
4.3495001793;-0.011674917303
4.3994998932;-0.0014432326425
4.4495000839;-0.024772476405
4.4994997978;-0.041041728109
4.5494999886;-0.062377125025
4.5995001793;-0.071605458856
4.6494998932;-0.085556797683
4.6995000839;-0.095778487623
4.7494997978;-0.096577070653
4.7994999886;-0.10011075437
4.8495001793;-0.087107047439
4.8994998932;-0.079695291817
4.9499998093;-0.068898104131
5.0;-0.05710054934
5.0500001907;-0.039133861661
5.0999999046;-0.020256238058
5.1500000954;-0.0058094793931
5.1999998093;-0.0038015381433
5.25;0.0012577726739
5.3000001907;0.0025197153445
5.3499999046;-0.0016558886273
5.4000000954;-0.0022580844816
5.4499998093;0.0020126665477
5.5;0.0019400825258
5.5500001907;-0.0023192004301
5.5999999046;-0.0015736480709
5.6500000954;-0.00034304228029
5.6999998093;-0.019941270351
5.75;-0.037055663764
5.8000001907;-0.060717791319
5.8499999046;-0.07370672375
5.9000000954;-0.094381481409
5.9499998093;-0.10483140498
6.0;-0.11129713058
6.0500001907;-0.11602901667
6.0999999046;-0.11538748443
6.1500000954;-0.10629271716
6.1999998093;-0.093661732972
6.25;-0.078864343464
6.3000001907;-0.066963769495
6.3499999046;-0.051070943475
6.4000000954;-0.033128395677
6.4499998093;-0.01740523614
6.5;-0.009622217156
6.5500001907;0.0019098721677
6.5999999046;0.0036997639108
6.6500000954;-0.002918349579
6.6999998093;-0.0032386637758
6.75;0.0034300594125
6.8000001907;0.0026967131998
6.8499999046;-0.0038561408874
6.9000000954;-0.0022559489589
6.9499998093;-0.0078813964501
7.0;-0.028034832329
7.0500001907;-0.043995592743
7.0999999046;-0.060573205352
7.1500000954;-0.075147174299
7.1999998093;-0.083615384996
7.25;-0.092876672745
7.3000001907;-0.09212616086
7.3499999046;-0.090065792203
7.4000000954;-0.084154352546
7.4499998093;-0.075778596103
7.5;-0.061539843678
7.5500001907;-0.048063810915
7.5999999046;-0.034745059907
7.6500000954;-0.022190857679
7.6999998093;-0.01159513928
7.75;0.001052504289
7.8000001907;0.0027984711342
7.8499999046;-0.0021070200019
7.9000000954;-0.0024655612651
7.9499998093;0.002496579662
8.0;0.0020711007528
8.0500001907;-0.0028238142841
8.1000003815;-0.0027637886815
8.1499996185;-0.016683643684
8.1999998093;-0.031105779111
8.25;-0.047386500984
8.3000001907;-0.063393384218
8.3500003815;-0.078693881631
8.3999996185;-0.088975079358
8.4499998093;-0.09926494956
8.5;-0.1037338227
8.5500001907;-0.10745564848
8.6000003815;-0.10473800451
8.6499996185;-0.09630690515
8.6999998093;-0.086968332529
8.75;-0.072493746877
8.8000001907;-0.060170385987
8.8500003815;-0.046279683709
8.8999996185;-0.030710168183
8.9499998093;-0.01879921183
9.0;-0.010167452507
9.0500001907;-0.0047421241179
9.1000003815;-0.0019714848604
9.1499996185;-0.0019127514679
9.1999998093;-0.0045342193916
9.25;-0.011858783662
9.3000001907;-0.022026980296
9.3500003815;-0.033767543733
9.3999996185;-0.047203335911
9.4495000839;-0.064642429352
9.4995002747;-0.078855469823
9.5495004654;-0.093241922557
9.5994997025;-0.1036106497
9.6494998932;-0.11349890381
9.6995000839;-0.11993965507
9.7495002747;-0.12333307415
9.7995004654;-0.12160439044
9.8494997025;-0.11674452573
9.8994998932;-0.10996247083
9.9495000839;-0.099542886019
9.9995002747;-0.087125808001
10.049500465;-0.073452696204
10.099499702;-0.061268579215
10.149499893;-0.050948817283
10.199500084;-0.04122197628
10.249500275;-0.033593662083
10.299500465;-0.027921093628
10.349499702;-0.026186143979
10.399499893;-0.027989827096
10.449500084;-0.030252316967
10.499500275;-0.037283658981
10.549500465;-0.044391818345
10.599499702;-0.055228907615
10.649499893;-0.064125098288
10.699500084;-0.073899418116
10.749500275;-0.084455609322
10.799500465;-0.09252718091
10.849499702;-0.096687696874
10.899499893;-0.098060823977
10.949500084;-0.095584049821
10.999500275;-0.089480027556
11.049500465;-0.080170184374
11.099499702;-0.068714007735
11.149499893;-0.054340917617
11.199500084;-0.042293388397
11.249500275;-0.033819649369
11.299500465;-0.027474159375
11.349499702;-0.017669502646
11.399499893;-0.010779573582
11.449500084;-0.007600532379
11.499500275;-0.0037346596364
11.549500465;-0.0029313806444
11.599499702;-0.0031512931455
11.649499893;-0.0032149588224
11.699500084;-0.0061139236204
11.749500275;-0.011368007399
11.799500465;-0.017696406692
11.849499702;-0.023438546807
11.899499893;-0.03151679039
11.949500084;-0.041210439056
11.999500275;-0.049616571516
12.049500465;-0.057353109121
12.099499702;-0.063442572951
12.149499893;-0.067870453
12.199500084;-0.068606369197
12.249500275;-0.069566272199
12.299500465;-0.065634436905
12.349499702;-0.060564596206
12.399499893;-0.053759049624
12.449500084;-0.046098321676
12.499500275;-0.037365071476
12.549500465;-0.030123170465
12.599499702;-0.021200759336
12.649499893;-0.01427364815
12.699500084;-0.012047692202
12.749500275;-0.0091040125117
12.799500465;-0.0083875469863
12.849499702;-0.011080243625
12.899499893;-0.01246123109
12.949500084;-0.016401911154
12.999500275;-0.024360936135
13.049500465;-0.032278262079
13.099499702;-0.042118415236
13.149499893;-0.050570312887
13.199500084;-0.059514775872
13.249500275;-0.068959005177
13.299500465;-0.077186740935
13.349499702;-0.08202560991
13.399499893;-0.085601784289
13.449500084;-0.086649395525
13.499500275;-0.085203103721
13.549500465;-0.082287974656
13.599499702;-0.07674189657
13.649499893;-0.069472759962
13.699500084;-0.061719961464
13.749500275;-0.053500242531
13.799500465;-0.04562844336
13.849499702;-0.039262395352
13.899499893;-0.033573918045
13.949500084;-0.031215731055
13.999500275;-0.030981406569
14.049500465;-0.033347692341
14.099499702;-0.036680307239
14.149499893;-0.042903769761
14.199500084;-0.049242053181
14.249500275;-0.057513754815
14.299500465;-0.065920695662
14.349499702;-0.072915866971
14.399499893;-0.080768056214
14.449500084;-0.087604515254
14.499500275;-0.092505685985
14.549500465;-0.095116473734
14.599499702;-0.096036285162
14.649499893;-0.095087952912
14.699500084;-0.090690121055
14.749500275;-0.084264554083
14.799500465;-0.075636193156
14.849499702;-0.06500210613
14.899499893;-0.053905814886
14.949500084;-0.042148191482
14.999500275;-0.031821068376
15.049500465;-0.020532306284
15.099499702;-0.011652279645
15.149499893;-0.0040348838083
15.199500084;-0.00018522515893
15.249500275;-0.0054623549804
