Time [s];Bending-angle [radiant]
37.0;0.62474840879
37.049999237;0.62564092875
37.099998474;0.62653338909
37.150001526;0.62742590904
37.200000763;0.62831842899
37.25;0.62921088934
37.299999237;0.63010340929
37.349998474;0.63099586964
37.400001526;0.63188838959
37.450000763;0.63278090954
37.5;0.63367336988
37.549999237;0.63456588984
37.599998474;0.63545840979
37.650001526;0.63635087013
37.700000763;0.63724339008
37.75;0.63813585043
37.799999237;0.63902837038
37.849998474;0.63992089033
37.900001526;0.64081335068
37.950000763;0.64170587063
38.0;0.64259839058
38.049999237;0.64349085093
38.099998474;0.64438337088
38.149501801;0.64526695013
38.199501038;0.64615941048
38.249500275;0.64705193043
38.299499512;0.64794445038
38.349498749;0.64883691072
38.399501801;0.64972943068
38.449501038;0.65062189102
38.499500275;0.65151441097
38.549499512;0.65240693092
38.599498749;0.65329939127
38.649501801;0.65419191122
38.699501038;0.65508443117
38.749500275;0.65597689152
38.799499512;0.65686941147
38.849498749;0.65776187181
38.899501801;0.65865439177
38.949501038;0.65954691172
38.999500275;0.66043937206
39.049499512;0.66133189201
39.099498749;0.66222441196
39.149501801;0.66311687231
39.199501038;0.66400939226
39.249500275;0.66490185261
39.299499512;0.66579437256
39.349498749;0.66668689251
39.399501801;0.66757935286
39.449501038;0.66847187281
39.499500275;0.66936439276
39.549499512;0.6702568531
39.599498749;0.67114937305
39.649501801;0.67204189301
39.699501038;0.67293435335
39.749500275;0.6738268733
39.799499512;0.67471933365
39.849498749;0.6756118536
39.899501801;0.67650437355
39.949501038;0.6773968339
39.999500275;0.67828935385
40.049499512;0.6791818738
40.099498749;0.68007433414
40.149501801;0.6809668541
40.199501038;0.68185931444
40.249500275;0.68275183439
40.299499512;0.68364435434
40.349498749;0.68453681469
40.399501801;0.68542933464
40.449501038;0.68632185459
40.499500275;0.68721431494
40.549499512;0.68810683489
40.599498749;0.68899929523
40.649501801;0.68989181519
40.699501038;0.69078433514
40.749500275;0.69167679548
40.799499512;0.69256931543
40.849498749;0.69346183538
40.899501801;0.69435429573
40.949501038;0.69524681568
40.999500275;0.69613927603
41.049499512;0.69703179598
41.099498749;0.69792431593
41.149501801;0.69881677628
41.199501038;0.69970929623
41.249500275;0.70060181618
41.299499512;0.70149427652
41.349498749;0.70238679647
41.399501801;0.70327925682
41.449501038;0.70417177677
41.499500275;0.70506429672
41.549499512;0.70595675707
41.599498749;0.70684927702
41.649501801;0.70774179697
41.699501038;0.70863425732
41.749500275;0.70952677727
41.799499512;0.71041923761
41.849498749;0.71131175756
41.899501801;0.71220427752
41.949501038;0.71309673786
41.999500275;0.71398925781
42.049499512;0.71488177776
42.099498749;0.71577423811
42.149501801;0.71666675806
42.199501038;0.71755921841
42.249500275;0.71845173836
42.299499512;0.71934425831
42.349498749;0.72023671865
42.399501801;0.72112923861
42.449501038;0.72202175856
42.499500275;0.7229142189
42.549499512;0.72380673885
42.599498749;0.7246992588
42.649501801;0.72559171915
42.699501038;0.7264842391
42.749500275;0.72737669945
42.799499512;0.7282692194
42.849498749;0.72916173935
42.899501801;0.7300541997
42.949501038;0.73094671965
42.999500275;0.7318392396
43.049499512;0.73273169994
43.099498749;0.73362421989
43.149501801;0.73451668024
43.199501038;0.73540920019
43.249500275;0.73630172014
43.299499512;0.73719418049
43.349498749;0.73808670044
43.399501801;0.73897922039
43.449501038;0.73987168074
43.499500275;0.74076420069
43.549499512;0.74165666103
43.599498749;0.74254918098
43.649501801;0.74344170094
43.699501038;0.74433416128
43.749500275;0.74522668123
43.799499512;0.74611920118
43.849498749;0.74701166153
43.899501801;0.74790418148
43.949501038;0.74879664183
43.999500275;0.74968916178
44.049499512;0.75058168173
44.099498749;0.75147414207
44.149501801;0.75236666203
44.199501038;0.75325918198
44.249500275;0.75415164232
44.299499512;0.75504416227
44.349498749;0.75593662262
44.399501801;0.75682914257
44.449501038;0.75772166252
44.499500275;0.75861412287
44.549499512;0.75950664282
44.599498749;0.76039916277
44.649501801;0.76129162312
44.699501038;0.76218414307
44.749500275;0.76307660341
44.799499512;0.76396912336
44.849498749;0.76486164331
44.899501801;0.76575410366
44.949501038;0.76664662361
44.999500275;0.76753914356
45.049499512;0.76843160391
45.099498749;0.76932412386
45.149501801;0.77021658421
45.199501038;0.77110910416
45.249500275;0.77200162411
45.299499512;0.77289408445
45.349498749;0.7737866044
45.399501801;0.77467912436
45.449501038;0.7755715847
45.499500275;0.77646410465
45.549499512;0.7773566246
45.599498749;0.77824908495
45.649501801;0.7791416049
45.699501038;0.78003406525
45.749500275;0.7809265852
45.799499512;0.78181910515
45.849498749;0.78271156549
45.899501801;0.78360408545
45.949501038;0.7844966054
45.999500275;0.78538906574
46.049499512;0.78628158569
46.099498749;0.78717404604
46.149501801;0.78806656599
46.199501038;0.78895908594
46.249500275;0.78985154629
46.299499512;0.79074406624
46.349498749;0.79163658619
46.399501801;0.79252904654
46.449501038;0.79342156649
46.499500275;0.79431402683
46.549499512;0.79520654678
46.599498749;0.79609906673
46.649501801;0.79699152708
46.699501038;0.79788404703
46.749500275;0.79877656698
46.799499512;0.79966902733
46.849498749;0.80056154728
46.899501801;0.80145400763
46.949501038;0.80234652758
46.999500275;0.80323904753
47.049499512;0.80413150787
47.099498749;0.80502402782
47.149501801;0.80591654778
47.199501038;0.80680900812
47.249500275;0.80770152807
47.299499512;0.80859398842
47.349498749;0.80948650837
47.399501801;0.81037902832
47.449501038;0.81127148867
47.499500275;0.81216400862
47.549499512;0.81305652857
47.599498749;0.81394898891
47.649501801;0.81484150887
47.699501038;0.81573396921
47.749500275;0.81662648916
47.799499512;0.81751900911
47.849498749;0.81841146946
47.899501801;0.81930398941
47.949501038;0.82019650936
47.999500275;0.82108896971
48.049499512;0.82198148966
48.099498749;0.82287395
48.149501801;0.82376646996
48.199501038;0.82465898991
48.249500275;0.82555145025
48.299499512;0.8264439702
48.349498749;0.82733649015
48.399501801;0.8282289505
48.449501038;0.82912147045
48.499500275;0.8300139904
48.549499512;0.83090645075
48.599498749;0.8317989707
48.649501801;0.83269143105
48.699501038;0.833583951
48.749500275;0.83447647095
48.799499512;0.83536893129
48.849498749;0.83626145124
48.899501801;0.8371539712
48.949501038;0.83804643154
48.999500275;0.83893895149
49.049499512;0.83983141184
49.099498749;0.84072393179
49.149501801;0.84161645174
49.199501038;0.84250891209
49.249500275;0.84340143204
49.299499512;0.84429395199
49.349498749;0.84518641233
49.399501801;0.84607893229
49.449501038;0.84697139263
49.499500275;0.84786391258
49.549499512;0.84875643253
49.599498749;0.84964889288
49.649501801;0.85054141283
49.699501038;0.85143393278
49.749500275;0.85232639313
49.799499512;0.85321891308
49.849498749;0.85411137342
49.899501801;0.85500389338
49.949501038;0.85589641333
49.999500275;0.85678887367
50.049499512;0.85768139362
50.099498749;0.85857391357
50.149501801;0.85946637392
50.199501038;0.86035889387
50.249500275;0.86125135422
50.299499512;0.86214387417
50.349498749;0.86303639412
50.399501801;0.86392885447
50.449501038;0.86482137442
50.499500275;0.86571389437
50.549499512;0.86660635471
