Angle[degree];Secondary axis[mm];Main axis[mm];Out-of-roundness[-];Collapse[mm]
0.0;21.46775993471855;20.307688380414074;0.05524150258592745;0.6914507917855346
1.0;21.461690429303545;20.245277155201954;0.05792444162388526;0.7592338968340684
2.0;21.481015027959366;20.188789077668666;0.06153456906146189;0.8148046328611684
3.0;21.48340470068365;20.141553427695214;0.06389767966611598;0.8605972815298273
4.0;21.468509277146012;20.099386701822578;0.06519631311063973;0.8963624001937802
5.0;21.473672626482127;20.07070233433856;0.0668081091496937;0.921153613385016
6.0;21.485603792902303;20.04361992198365;0.06866589861517387;0.9434241888640997
7.0;21.480918930023662;20.024689333580984;0.06934426649727042;0.9586251601456226
8.0;21.478803452085188;20.006575091626782;0.07010611240278122;0.9721655615455091
9.0;21.47747808833728;19.989939815834536;0.07083515583346395;0.9836102203827721
10.0;21.483415361334913;19.982480635945485;0.07147308216140132;0.9880906756015193
11.0;21.47311169369692;19.969821691206956;0.07158523821380787;0.9968694895120436
12.0;21.463042213966418;19.967244025010338;0.07122848518838476;0.9979890247863565
13.0;21.475755863611823;19.959684369369516;0.07219388067820513;1.0013545019963388
14.0;21.476537828295058;19.96139362623974;0.07214972390739607;1.0016458647380517
15.0;21.464454954884033;19.96207526619112;0.07154188993775772;1.0000889961570891
16.0;21.463986600592612;19.96368195769246;0.0714430782333405;1.0014946327524754
17.0;21.469010235216388;19.966875473153422;0.07153022676490312;0.9964672364070424
18.0;21.465859665895962;19.964690779263044;0.07148423269680562;1.0011954913713978
19.0;21.46025608943072;19.9659897737244;0.07115553884315824;0.998192856953338
20.0;21.46129906239142;19.963324489934028;0.071332122497971;1.0022384398081172
21.0;21.459977014052342;19.961611447931542;0.0713507412438476;0.999666968406423
22.0;21.46011729208908;19.96010743825833;0.07142904065860717;0.999261268292301
23.0;21.456935529042703;19.95565718899096;0.07148944476436878;0.9972854221675007
24.0;21.457753634432194;19.955905114495874;0.07151659618744384;0.9935993632102367
25.0;21.454787336068733;19.94867659381621;0.0717195591548821;0.9923028360457238
26.0;21.456168680838353;19.950662637880413;0.07169076395037809;0.9868329182232856
27.0;21.454277538902815;19.94298347202566;0.07196638413700741;0.9867539131778429
28.0;21.45199753109084;19.94673670823072;0.07167908680286283;0.9775959930253961
29.0;21.450235890272218;19.939039442505976;0.07196173560791627;0.9747595282476738
30.0;21.448953507334892;19.941808212738664;0.07176882355220132;0.9627936687065599
31.0;21.447625030865908;19.935918229066182;0.07198603818093931;0.9557564559738267
32.0;21.445931937563273;19.941414139474773;0.07164370467088095;0.9390180275416284
33.0;21.444807944737953;19.941766168556413;0.07157341791340667;0.9232776893043848
34.0;21.44394467073748;19.949475492514583;0.07116519896299507;0.9030433839022578
35.0;21.44332711368979;19.954356764764484;0.07090334994882412;0.8832080012205381
36.0;21.443223008027445;19.961171332516734;0.07057388931003385;0.8626123271288506
37.0;21.44335087050373;19.963991467314006;0.07044568586617725;0.8434866825895213
38.0;21.44346640825394;19.965227610100776;0.07039232372157925;0.8275986142426461
39.0;21.443339071139654;19.971127001491734;0.07010533664990096;0.806706311006046
40.0;21.443638121029338;19.972837033411732;0.07003814702940978;0.7895756839176897
41.0;21.443713771329577;19.9814320821261;0.06963246139064169;0.7654200641182101
42.0;21.44338942909912;19.979929820648618;0.06968855278335727;0.7511949125201198
43.0;21.443081469586126;19.99241086228159;0.06907955272878735;0.7253975826367807
44.0;21.442790128662537;19.991998724414742;0.06908530496418071;0.7105234968571494
45.0;21.44321092975401;20.00146355022345;0.0686546371205029;0.6887975355149365
46.0;21.441165009593135;20.003520885429236;0.06845924400780473;0.6726221449551844
47.0;21.439803386335697;20.016911051793485;0.06775677783534342;0.6509234686874805
48.0;21.43857687474734;20.02149490910737;0.0674800936019033;0.6340487319523049
49.0;21.439131148981673;20.032357570911998;0.06698921800331786;0.6176403527682268
50.0;21.436630851745036;20.04067555660624;0.06647406167327607;0.599931092437032
51.0;21.434786945885875;20.05500356868793;0.06570397034275931;0.5837021307831662
52.0;21.434872603391156;20.065635996303147;0.0652017431946671;0.5648968764912254
53.0;21.434442176189627;20.074829955154186;0.06474343909692576;0.5541681790695208
54.0;21.432558899277282;20.088265895394496;0.06401395256584695;0.5348088066151817
55.0;21.430415089278533;20.09686627529687;0.06350232447531737;0.5258612394062183
56.0;21.430598618033216;20.106089406506054;0.0630718672155791;0.5106771742852558
57.0;21.42829089505355;20.111761647092532;0.06269186895052467;0.5042520645780755
58.0;21.426505066775952;20.123356781187045;0.062054680266138446;0.4890375668390874
59.0;21.42471849243698;20.132324430231236;0.061542574390749734;0.4798616934049704
60.0;21.424250249262172;20.14003128315692;0.06115328410025017;0.46865397757921556
61.0;21.421242777390617;20.15130815047805;0.06047307747202693;0.45754787771944194
62.0;21.42037966670287;20.162775144146224;0.05988592964555464;0.4454605794832105
63.0;21.419415558068458;20.17741269261057;0.05914299359323275;0.4320460346371533
64.0;21.418976601419857;20.182945545625056;0.05885862170451431;0.4261900083205248
65.0;21.417241059916577;20.199750314448284;0.05797574978420443;0.41254797819118494
66.0;21.416435117549163;20.206380300243378;0.05762165796694215;0.4101762043497885
67.0;21.415634904392434;20.21934503260148;0.056966184370997736;0.4030006895296552
68.0;21.414651986584126;20.222469805811105;0.05677058003681049;0.4054296016296135
69.0;21.413480856510148;20.236953580655715;0.0560251083740206;0.40046876889686445
70.0;21.412431804553016;20.24538182265358;0.05557380866187786;0.403003196267278
71.0;21.411259223964137;20.254334132891948;0.05509167100343758;0.40605250390413516
72.0;21.41019078641108;20.263200721840825;0.05461857450334542;0.4078532329206084
73.0;21.407744174930286;20.272961982137;0.054037247275870705;0.41200114987150016
74.0;21.40515138523844;20.286624192332816;0.05326319966217258;0.4126825647157517
75.0;21.40284641893011;20.29110131193237;0.052940243190368635;0.423794460494193
76.0;21.399752112991287;20.303009054049333;0.052225859949616836;0.4245727153453913
77.0;21.395525692401264;20.309872797228213;0.05169775691300246;0.4345221399349555
78.0;21.390208418571305;20.317443804511022;0.051084029240965854;0.441993281377556
79.0;21.388683861392487;20.327794113639015;0.050518559416831955;0.4496113434817133
80.0;21.382664853798694;20.33121492581181;0.0500690441898516;0.4581623647690236
81.0;21.378454664011393;20.344570449832585;0.04923258162756231;0.46335526167288776
82.0;21.37636451302822;20.34174935763899;0.049267388351868224;0.47909638040911773
83.0;21.36944316648991;20.35363300357677;0.0483719125196732;0.4871797987473059
84.0;21.365025846885224;20.35158208153202;0.04825922692158121;0.5023462736127158
85.0;21.369406142122486;20.35421044366959;0.048342652307280756;0.5195970903586229
86.0;21.36083994186432;20.36051116472374;0.04763470367336099;0.5316885019410762
87.0;21.346790553374163;20.3577417774294;0.04709756075927443;0.5529433468143097
87.52;21.35026456000901;20.35899441648803;0.047203340167665635;0.5601840604632784
88.0;21.357427291207486;20.356608801503402;0.047658023319242106;0.5687724480355527
89.0;21.360061845003955;20.354491887386985;0.04788428369604619;0.5792479984791825
90.0;21.346258392959754;20.359922330756987;0.046968383914417475;0.5768966733009648
90.02;21.345815366909868;20.360092677658418;0.04693917567864046;0.5767185724316946
