Time [s];Force [kN]
0.0;0.0
0.049499999732;0.0
0.099500000477;0.0
0.1494999975;0.0
0.19949999452;0.0
0.24950000644;0.0
0.29949998856;0.0
0.34950000048;0.0
0.3995000124;0.0
0.44949999452;0.0
0.49950000644;-0.050594978034
0.55000001192;-0.37381857634
0.60000002384;-0.86914020777
0.64999997616;-1.2934910059
0.69999998808;-1.5851376057
0.75;-1.8522298336
0.80000001192;-2.0456774235
0.85000002384;-2.2047355175
0.89999997616;-2.2157337666
0.94999998808;-1.9309742451
1.0;-1.5735054016
1.0499999523;-1.2225836515
1.1000000238;-0.87958484888
1.1499999762;-0.52546489239
1.2000000477;-0.35074418783
1.25;-0.10177928954
1.2999999523;-0.00017315711011
1.3500000238;0.0
1.3999999762;0.0
1.4500000477;0.0
1.5;0.0
1.5499999523;0.0
1.6000000238;0.0
1.6499999762;0.0
1.7000000477;0.0
1.75;0.0
1.7999999523;-0.0016586552374
1.8500000238;-0.16691087186
1.8999999762;-0.31366485357
1.9500000477;-0.89681190252
2.0;-1.3181101084
2.0499999523;-1.8250317574
2.0999999046;-1.8455355167
2.1500000954;-1.766497016
2.2000000477;-1.2319937944
2.25;-1.0829529762
2.2999999523;-0.83822208643
2.3499999046;-0.66928189993
2.4000000954;-0.61658656597
2.4500000477;-0.48093178868
2.4995000362;-0.2468380779
2.5494999886;-0.17664444447
2.5994999409;0.0
2.6494998932;-0.01483131852
2.6995000839;0.0
2.7495000362;0.0
2.7994999886;0.0
2.8494999409;0.0
2.8994998932;0.0
2.9495000839;0.0
2.9995000362;0.0
3.0494999886;0.0
3.0994999409;0.0
3.1494998932;-0.051527008414
3.1995000839;-0.30701601505
3.2495000362;-0.3751629889
3.2994999886;-0.57455146313
3.3494999409;-0.80533576012
3.3994998932;-1.0139526129
3.4495000839;-1.1778393984
3.4995000362;-1.2209341526
3.5494999886;-1.1386296749
3.5994999409;-1.221734643
3.6494998932;-0.96442162991
3.6995000839;-0.90145748854
3.7495000362;-0.64444714785
3.7994999886;-0.38310906291
3.8494999409;-0.14105306566
3.8994998932;-0.026217088103
3.9495000839;0.0
3.9995000362;0.0
4.0494999886;0.0
4.0995001793;0.0
4.1494998932;0.0
4.1995000839;0.0
4.2494997978;0.0
4.2994999886;0.0
4.3495001793;0.0
4.3994998932;0.0
4.4495000839;-0.080681949854
4.4994997978;-0.1237866357
4.5494999886;-0.27673527598
4.5995001793;-0.44449424744
4.6494998932;-0.64861863852
4.6995000839;-0.72913455963
4.7494997978;-0.86533820629
4.7994999886;-0.96281045675
4.8495001793;-0.88234442472
4.8994998932;-0.93821698427
4.9499998093;-0.84710496664
5.0;-0.74814486504
5.0500001907;-0.68643969297
5.0999999046;-0.47344848514
5.1500000954;-0.38933369517
5.1999998093;-0.17529425025
5.25;-0.090167999268
5.3000001907;-0.033830240369
5.3499999046;0.0
5.4000000954;0.0
5.4499998093;0.0
5.5;0.0
5.5500001907;0.0
5.5999999046;0.0
5.6500000954;0.0
5.6999998093;0.0
5.75;-0.015412870795
5.8000001907;-0.15469023585
5.8499999046;-0.27195617557
5.9000000954;-0.48424330354
5.9499998093;-0.64991992712
6.0;-0.84251153469
6.0500001907;-0.94067472219
6.0999999046;-1.0646371841
6.1500000954;-1.0990737677
6.1999998093;-1.0894767046
6.25;-1.0432324409
6.3000001907;-0.95783531666
6.3499999046;-0.87358772755
6.4000000954;-0.71812301874
6.4499998093;-0.55629867315
6.5;-0.41070371866
6.5500001907;-0.24074107409
6.5999999046;-0.1185503006
6.6500000954;-0.0071207191795
6.6999998093;0.0
6.75;0.0
6.8000001907;0.0
6.8499999046;0.0
6.9000000954;0.0
6.9499998093;0.0
7.0;0.0
7.0500001907;-0.070493914187
7.0999999046;-0.087277270854
7.1500000954;-0.20222586393
7.1999998093;-0.39051049948
7.25;-0.51179987192
7.3000001907;-0.6541044116
7.3499999046;-0.7570527792
7.4000000954;-0.82298785448
7.4499998093;-0.85485470295
7.5;-0.83359879255
7.5500001907;-0.7894025445
7.5999999046;-0.70953983068
7.6500000954;-0.62085515261
7.6999998093;-0.50141388178
7.75;-0.38781708479
7.8000001907;-0.2549585104
7.8499999046;-0.1399422884
7.9000000954;-0.069553241134
7.9499998093;-0.0076711750589
8.0;-0.00028842099709
8.0500001907;0.0
8.1000003815;0.0
8.1499996185;0.0
8.1999998093;0.0
8.25;-0.0017694847193
8.3000001907;-0.071582235396
8.3500003815;-0.15756033361
8.3999996185;-0.2862393856
8.4499998093;-0.41953831911
8.5;-0.54932057858
8.5500001907;-0.68091624975
8.6000003815;-0.81225061417
8.6499996185;-0.89712935686
8.6999998093;-0.94292217493
8.75;-0.95259916782
8.8000001907;-0.92138457298
8.8500003815;-0.8629090786
8.8999996185;-0.77017509937
8.9499998093;-0.65237140656
9.0;-0.53125959635
9.0500001907;-0.41190937161
9.1000003815;-0.29584395885
9.1499996185;-0.18715789914
9.1999998093;-0.10804571956
9.25;-0.069331385195
9.3000001907;-0.041302833706
9.3500003815;-0.063078574836
9.3999996185;-0.065124392509
9.4495000839;-0.16066113114
9.4995002747;-0.20754681528
9.5495004654;-0.32682472467
9.5994997025;-0.42411708832
9.6494998932;-0.55671572685
9.6995000839;-0.68617486954
9.7495002747;-0.82626563311
9.7995004654;-0.92760372162
9.8494997025;-1.0144640207
9.8994998932;-1.0852200985
9.9495000839;-1.1175000668
9.9995002747;-1.1219213009
10.049500465;-1.0911992788
10.099499702;-1.0148245096
10.149499893;-0.9423186183
10.199500084;-0.80494976044
10.249500275;-0.74025517702
10.299500465;-0.57901185751
10.349499702;-0.5143674016
10.399499893;-0.39200222492
10.449500084;-0.33984816074
10.499500275;-0.26083910465
10.549500465;-0.24533270299
10.599499702;-0.22799451649
10.649499893;-0.25469902158
10.699500084;-0.29212197661
10.749500275;-0.34065535665
10.799500465;-0.39270359278
10.849499702;-0.45155537128
10.899499893;-0.51339048147
10.949500084;-0.56376612186
10.999500275;-0.62821751833
11.049500465;-0.65664714575
11.099499702;-0.67572653294
11.149499893;-0.66747409105
11.199500084;-0.64954656363
11.249500275;-0.61151480675
11.299500465;-0.57881164551
11.349499702;-0.52043068409
11.399499893;-0.45294526219
11.449500084;-0.3716814816
11.499500275;-0.28564250469
11.549500465;-0.19434964657
11.599499702;-0.11910455674
11.649499893;-0.059553220868
11.699500084;-0.020156681538
11.749500275;-0.0069021643139
11.799500465;-0.00034940327168
11.849499702;-5.869319466e-07
11.899499893;-0.006081122905
11.949500084;-0.027278959751
11.999500275;-0.053099758923
12.049500465;-0.098569378257
12.099499702;-0.16145168245
12.149499893;-0.23434922099
12.199500084;-0.33933153749
12.249500275;-0.43931633234
12.299500465;-0.53966629505
12.349499702;-0.61494618654
12.399499893;-0.66109853983
12.449500084;-0.69587254524
12.499500275;-0.67953771353
12.549500465;-0.64691609144
12.599499702;-0.59712463617
12.649499893;-0.52267926931
12.699500084;-0.44744679332
12.749500275;-0.35077989101
12.799500465;-0.27225026488
12.849499702;-0.1885972023
12.899499893;-0.13059057295
12.949500084;-0.089416705072
12.999500275;-0.060399901122
13.049500465;-0.051668375731
13.099499702;-0.064523898065
13.149499893;-0.080531589687
13.199500084;-0.13834045827
13.249500275;-0.205545187
13.299500465;-0.30004656315
13.349499702;-0.41150042415
13.399499893;-0.51695138216
13.449500084;-0.62274223566
13.499500275;-0.71813452244
13.549500465;-0.79876250029
13.599499702;-0.84949600697
13.649499893;-0.88899737597
13.699500084;-0.88492232561
13.749500275;-0.88169103861
13.799500465;-0.8343038559
13.849499702;-0.79059916735
13.899499893;-0.71569806337
13.949500084;-0.63757842779
13.999500275;-0.56810605526
14.049500465;-0.48520702124
14.099499702;-0.42982345819
14.149499893;-0.36531436443
14.199500084;-0.35016664863
14.249500275;-0.32422864437
14.299500465;-0.35112187266
14.349499702;-0.36689078808
14.399499893;-0.41253018379
14.449500084;-0.45830988884
14.499500275;-0.52037042379
14.549500465;-0.585919559
14.599499702;-0.64965105057
14.649499893;-0.71595484018
14.699500084;-0.76497912407
14.749500275;-0.80603349209
14.799500465;-0.81909239292
14.849499702;-0.81347024441
14.899499893;-0.77957326174
14.949500084;-0.72997975349
14.999500275;-0.65018087626
15.049500465;-0.56687319279
15.099499702;-0.45324873924
15.149499893;-0.34625530243
15.199500084;-0.22427906096
15.249500275;-0.1074322015
15.299500465;-0.059420954436
15.349499702;-0.022325376049
15.399499893;-0.0080407001078
15.449500084;-0.017129158601
15.499500275;-0.0072422991507
15.549500465;-0.0062444317155
15.599499702;-0.036762572825
15.649499893;-0.056737054139
15.699500084;-0.073707990348
15.749500275;-0.1138843745
15.799500465;-0.15591542423
15.849499702;-0.19513869286
15.899499893;-0.23947177827
15.949500084;-0.28973805904
15.999500275;-0.30559331179
16.049499512;-0.33189278841
